frame,value
0,0.819881
1,0.809336
2,0.796945
3,0.794159
4,0.991780
5,0.990243
6,0.991287
7,0.990707
8,0.990571
9,0.990328
10,0.990295
11,0.990802
12,0.990796
13,0.990601
14,0.990559
15,0.990773
16,0.991033
17,0.991289
18,0.991278
19,0.991416
20,0.992054
21,0.990461
22,0.989825
23,0.992065
24,0.993021
25,0.993152
26,0.993028
27,0.992607
28,0.990984
29,0.990232
30,0.992997
31,0.992748
32,0.991978
33,0.991638
34,0.995303
35,0.995085
36,0.995162
37,0.994731
38,0.994672
39,0.994823
40,0.994524
41,0.994038
42,0.994132
43,0.994482
44,0.994542
45,0.994525
46,0.994438
47,0.994318
48,0.994410
49,0.994016
50,0.994004
51,0.994216
52,0.993890
53,0.993459
54,0.992946
55,0.992210
56,0.991165
57,0.991149
58,0.990563
59,0.988320
60,0.987286
61,0.984467
62,0.983595
63,0.985061
64,0.992019
65,0.992667
66,0.993076
67,0.992705
68,0.992976
69,0.993011
70,0.992505
71,0.991763
72,0.991012
73,0.990312
74,0.989196
75,0.989315
76,0.989517
77,0.989535
78,0.989534
79,0.989815
80,0.990297
81,0.991286
82,0.991671
83,0.991918
84,0.991056
85,0.991855
86,0.991585
87,0.991469
88,0.991115
89,0.990593
90,0.993066
91,0.992318
92,0.991924
93,0.991525
94,0.991422
95,0.991677
96,0.991662
97,0.991609
98,0.991401
99,0.991603
100,0.991066
101,0.990506
102,0.990978
103,0.991412
104,0.991299
105,0.991484
106,0.990499
107,0.989934
108,0.989043
109,0.989460
110,0.989168
111,0.989395
112,0.989013
113,0.989262
114,0.989768
115,0.989432
116,0.989416
117,0.989851
118,0.990304
119,0.991220
120,0.994925
121,0.995227
122,0.995135
123,0.994746
124,0.991851
125,0.991429
126,0.991102
127,0.990558
128,0.989828
129,0.989297
130,0.988530
131,0.987944
132,0.987709
133,0.987646
134,0.987443
135,0.987450
136,0.988268
137,0.988427
138,0.988397
139,0.988467
140,0.988228
141,0.989676
142,0.990438
143,0.990636
144,0.990889
145,0.990842
146,0.990973
147,0.990736
148,0.990212
149,0.989360
150,0.992438
151,0.991967
152,0.991534
153,0.991461
154,0.991509
155,0.991162
156,0.991068
157,0.990768
158,0.990622
159,0.990579
160,0.990402
161,0.990416
162,0.990787
163,0.990945
164,0.990928
165,0.991166
166,0.992782
167,0.992674
168,0.992837
169,0.992796
170,0.993242
171,0.992860
172,0.991985
173,0.991569
174,0.990383
175,0.990361
176,0.990083
177,0.989726
178,0.989427
179,0.989208
180,0.990017
181,0.990067
182,0.989898
183,0.989898
184,0.992037
185,0.991769
186,0.992039
187,0.992459
188,0.992551
189,0.992960
190,0.993096
191,0.993681
192,0.993861
193,0.993894
194,0.994147
195,0.993901
196,0.993929
197,0.993483
198,0.993349
199,0.992810
200,0.989174
201,0.989067
202,0.987834
203,0.988630
204,0.989090
205,0.989224
206,0.988851
207,0.988606
208,0.988666
209,0.988956
210,0.991013
211,0.990775
212,0.990613
213,0.990427
214,0.993574
215,0.993248
216,0.993511
217,0.992582
218,0.992368
219,0.991583
220,0.991398
221,0.992283
222,0.991922
223,0.991572
224,0.991592
225,0.992666
226,0.992843
227,0.992278
228,0.992488
229,0.992680
230,0.992664
231,0.992964
232,0.991930
233,0.991492
234,0.991499
235,0.991228
236,0.990590
237,0.990535
238,0.991168
239,0.990950
240,0.997269
241,0.995868
242,0.993522
243,0.992383
244,0.990539
245,0.989100
246,0.989372
247,0.988945
248,0.990800
249,0.988600
250,0.990755
251,0.992776
252,0.992092
253,0.991393
254,0.988823
255,0.991229
256,0.992277
257,0.991089
258,0.988801
259,0.990131
260,0.990048
261,0.987618
262,0.985909
263,0.986613
264,0.987520
265,0.989256
266,0.988431
267,0.990140
268,0.989508
269,0.990062
270,0.991538
271,0.993890
272,0.993957
273,0.993037
274,0.990882
275,0.987929
276,0.991013
277,0.990210
278,0.987924
279,0.990023
280,0.986889
281,0.989340
282,0.989949
283,0.983250
284,0.986420
285,0.981953
286,0.980406
287,0.979139
288,0.982209
289,0.989834
290,0.990871
291,0.990093
292,0.991401
293,0.995359
294,0.995587
295,0.992631
296,0.989300
297,0.990818
298,0.991378
299,0.989943
300,0.983387
301,0.983623
302,0.982304
303,0.978264
304,0.894825
305,0.891691
306,0.895070
307,0.903715
308,0.926550
309,0.933335
310,0.947604
311,0.962407
312,0.969004
313,0.974280
314,0.974761
315,0.972538
316,0.963269
317,0.956468
318,0.958252
319,0.960156
320,0.951977
321,0.945174
322,0.927088
323,0.889009
324,0.862952
325,0.821918
326,0.785531
327,0.776574
328,0.763149
329,0.744002
330,0.747397
331,0.729087
332,0.755866
333,0.758159
334,0.750132
335,0.751088
336,0.765978
337,0.769781
338,0.769807
339,0.780391
340,0.786766
341,0.822188
342,0.823258
343,0.837687
344,0.863274
345,0.879993
346,0.906869
347,0.929736
348,0.944383
349,0.964024
350,0.975785
351,0.976488
352,0.978593
353,0.978823
354,0.980211
355,0.979293
356,0.978536
357,0.980659
358,0.980316
359,0.980379
360,0.983537
361,0.982559
362,0.981725
363,0.980727
364,0.975915
365,0.976903
366,0.977010
367,0.976021
368,0.973826
369,0.975834
370,0.977519
371,0.974979
372,0.975435
373,0.974747
374,0.977102
375,0.976910
376,0.975655
377,0.975964
378,0.977436
379,0.976771
380,0.973905
381,0.971626
382,0.974088
383,0.975740
384,0.974656
385,0.971141
386,0.970895
387,0.971974
388,0.970717
389,0.967537
390,0.969450
391,0.969100
