Time  Yaw  Pitch  Roll
2,94 176,21 1,100292 6,157493
2,96 176,4908 0,9634242 5,878314
2,98 176,6253 0,8950287 5,76366
3 176,6779 0,9684316 5,56327
3,02 176,6511 1,154815 5,517892
3,04 176,4517 1,516077 5,542182
3,06 176,2347 1,963003 5,512677
3,08 176,2208 2,214956 5,435757
3,1 176,1541 2,656191 5,295664
3,12 176,1113 3,144645 5,161886
3,14 176,1554 3,667085 5,059362
3,16 176,2966 4,14993 4,979392
3,18 176,4241 4,36938 4,982716
3,2 176,6448 4,68304 5,054502
3,22 176,8018 4,753948 5,019429
3,24 176,9159 4,434551 4,899647
3,26 176,9764 4,095767 4,699792
3,28 176,9821 3,883309 4,651767
3,3 176,9822 3,487212 4,572183
3,32 177,1066 3,209489 4,559637
3,34 177,2037 2,906595 4,516855
3,36 177,3851 2,570017 4,46183
3,38 177,535 2,43622 4,440352
3,4 177,727 2,286731 4,406985
3,42 177,8317 2,115251 4,267141
3,44 177,8663 2,097512 4,13308
3,46 177,8163 2,109861 3,902155
3,48 177,8023 2,127569 3,797834
3,5 177,6856 2,083318 3,618469
3,52 177,5081 1,995407 3,604706
3,54 177,2664 1,950515 3,443528
3,56 177,1059 1,884336 3,185159
3,58 177,0366 1,873259 3,030058
3,6 176,9708 1,933496 2,963389
3,62 176,9948 1,983915 2,918417
3,64 177,0302 2,117389 3,037343
3,66 177,0485 2,594256 3,081171
3,68 176,9906 2,607537 3,145046
3,7 176,9126 2,779768 3,327629
3,72 176,7817 2,72413 3,356206
3,74 176,5778 2,677306 3,394567
3,76 176,2762 2,575581 3,377732
3,78 176,1769 2,645826 3,452426
3,8 175,9875 2,622772 3,603704
3,82 175,8765 2,701487 3,634572
3,84 175,7316 2,911871 3,721534
3,86 175,7 3,042196 3,878709
3,88 175,5896 3,130662 4,042604
3,9 175,2502 3,363933 3,957053
3,92 175,0592 3,759031 3,913579
3,94 174,7079 3,969244 3,961642
3,96 174,4803 4,059322 3,835351
3,98 174,4256 4,037812 3,903041
4 174,1924 3,90546 3,944321
4,02 174,0257 3,660133 4,149514
4,04 173,8782 3,490402 4,164061
4,06 173,8637 3,614171 4,078404
4,08 173,8768 3,703431 4,081553
4,1 173,822 3,911917 3,973302
4,12 173,7578 4,235004 3,697108
4,14 173,4736 4,533462 3,829237
4,16 173,4595 4,85189 4,013006
4,18 173,5339 4,998268 3,997479
4,2 173,8318 5,033923 3,949406
4,22 174,1451 5,07139 3,888755
4,24 174,5234 5,04939 3,742729
4,26 174,7431 4,947145 3,7377
4,28 174,7726 4,90591 3,850497
4,3 174,7648 4,895142 3,922328
4,32 174,7022 4,796339 3,957496
4,34 174,3335 4,691869 4,052326
4,36 173,9213 4,556435 4,062633
4,38 173,7357 4,459757 4,094346
4,4 173,298 4,234541 4,109445
4,42 172,8571 4,015903 4,110301
4,44 172,4635 3,754363 3,996298
4,46 172,1192 3,407553 4,006545
4,48 171,984 3,260547 4,01054
4,5 171,8828 2,968629 3,971847
