Time  Yaw  Pitch  Roll
0 0 0 0
0,02 0 0 0
0,04 338,0851 349,7749 358,7254
0,06 338,0851 349,7749 358,7254
0,08 338,0851 349,7749 358,7254
0,09999999 338,0851 349,7749 358,7254
0,12 338,0851 349,7749 358,7254
0,14 338,8922 349,6096 358,647
0,16 339,0597 349,5786 358,6168
0,18 339,4904 349,6027 358,5879
0,2 339,5625 349,6434 358,5419
0,22 339,7869 349,623 358,4913
0,24 340,0377 349,5997 358,4068
0,26 340,2963 349,6003 358,2859
0,28 340,4368 349,5756 358,2605
0,3 340,5669 349,5939 358,1561
0,32 340,7305 349,6233 358,0063
0,34 340,8395 349,5853 358,0079
0,36 340,8919 349,5991 357,9527
0,38 340,9095 349,5876 357,9351
0,4 340,9997 349,569 357,9371
0,42 341,0174 349,604 357,9132
0,44 341,0329 349,5887 357,8401
0,46 341,0248 349,6214 357,7712
0,48 341,0361 349,6436 357,731
0,5 341,043 349,6689 357,6804
0,52 341,0426 349,6563 357,6429
0,54 341,0346 349,6856 357,6159
0,56 340,9947 349,755 357,6112
0,58 340,9947 349,755 357,6112
0,6 340,9118 349,9137 357,6128
0,62 340,8761 350,0098 357,5953
0,64 340,8184 350,1713 357,555
0,66 340,722 350,4035 357,5345
0,68 340,4701 350,8185 357,3972
0,7 340,4701 350,8185 357,3972
0,72 340,2848 351,039 357,3906
0,74 340,0573 351,2737 357,3073
0,76 339,8798 351,4637 357,2786
0,78 339,6432 351,7633 357,2253
0,8 339,5035 351,9154 357,1568
0,82 339,3595 352,0804 357,1985
0,84 339,1498 352,2304 357,1672
0,86 338,9227 352,3483 357,248
0,88 338,9227 352,3483 357,248
0,9 338,7318 352,4539 357,2484
0,92 338,5695 352,5919 357,2462
0,94 338,3881 352,6591 357,398
0,96 338,2397 352,7449 357,4403
0,98 338,242 352,9894 357,4446
1 338,0989 353,1982 357,5222
1,02 338,1155 353,4312 357,6501
1,04 338,1904 353,7201 357,78
1,06 338,3007 353,9434 357,8251
1,08 338,3007 353,9434 357,8251
1,1 338,3455 354,1264 357,9175
1,12 338,4535 354,5027 357,9134
1,14 338,6012 354,8618 357,8893
1,16 338,6637 355,0618 357,9465
1,18 338,7871 355,3781 357,9724
1,2 338,9249 355,5937 357,9749
1,22 339,0155 355,7986 358,0135
1,24 339,1989 356,0164 357,9813
1,26 339,3491 356,1783 357,9838
1,28 339,3491 356,1783 357,9838
1,3 339,4622 356,1627 357,9781
1,32 339,5835 356,2677 357,9782
1,34 339,7467 356,349 357,9397
1,36 339,9108 356,416 357,9311
1,38 340,0113 356,4104 357,9557
1,4 340,1918 356,2552 357,9328
1,42 340,4534 356,1638 357,9633
1,44 340,5897 356,0275 357,9956
1,46 340,8391 355,9248 357,996
1,48 340,8391 355,9248 357,996
1,5 341,0133 355,7524 358,0429
1,52 341,2299 355,6857 357,9469
1,54 341,5331 355,2799 357,9233
1,56 341,7961 354,9869 357,9102
1,58 341,8529 355,0721 357,9423
1,6 342,0279 354,5672 357,9058
1,62 342,2032 354,3321 357,7831
1,64 342,4117 354,618 357,7286
1,66 342,5695 354,2527 357,6013
1,68 342,5695 354,2527 357,6013
1,7 342,6645 353,7556 357,5105
1,72 342,8002 353,8058 357,4813
1,74 342,9391 353,8729 357,3988
1,76 342,9943 353,9063 357,3105
1,78 343,3833 353,8099 357,0976
1,8 343,9556 353,7144 357,0893
1,82 344,5156 353,5362 357,2496
1,84 345,1989 353,2752 357,5958
1,86 346,101 352,8336 358,084
1,88 347,0909 352,5818 358,6354
1,9 347,0909 352,5818 358,6354
1,92 348,0233 352,4583 359,1466
1,94 349,1123 352,1158 359,584
1,96 350,0406 352,1309 359,8999
1,98 351,1277 351,995 0,2482366
2 352,2107 351,8333 0,6114324
2,02 353,2194 351,8298 1,030416
2,04 354,2659 351,7924 1,388364
2,06 355,0781 351,7668 1,742573
2,08 356,0064 351,9892 1,980698
2,1 356,0064 351,9892 1,980698
2,12 356,6161 352,208 2,062912
2,14 357,0844 352,5693 2,01256
