frame,value
0,0.867939
1,0.872918
2,0.857692
3,0.862797
4,0.865947
5,0.864572
6,0.868930
7,0.873945
8,0.881708
9,0.885533
10,0.888118
11,0.889746
12,0.888863
13,0.887752
14,0.885781
15,0.884703
16,0.888706
17,0.884655
18,0.886457
19,0.881180
20,0.872044
21,0.874925
22,0.877337
23,0.836131
24,0.843172
25,0.845029
26,0.831366
27,0.825293
28,0.809198
29,0.778258
30,0.775624
31,0.803227
32,0.803949
33,0.802951
34,0.807442
35,0.824329
36,0.823960
37,0.822365
38,0.821239
39,0.816725
40,0.819517
41,0.815102
42,0.817768
43,0.823362
44,0.824534
45,0.825257
46,0.825115
47,0.823986
48,0.824591
49,0.829982
50,0.832051
51,0.832878
52,0.834663
53,0.836551
54,0.837408
55,0.839163
56,0.839766
57,0.839266
58,0.839697
59,0.834373
60,0.831422
61,0.829754
62,0.833226
63,0.835544
64,0.835648
65,0.832601
66,0.831450
67,0.826311
68,0.820983
69,0.822339
70,0.819243
71,0.812594
72,0.812854
73,0.807607
74,0.804747
75,0.806485
76,0.806953
77,0.804770
78,0.805455
79,0.803621
80,0.798775
81,0.798761
82,0.798064
83,0.796767
84,0.797520
85,0.797647
86,0.796545
87,0.798495
88,0.798800
89,0.794945
90,0.805367
91,0.804124
92,0.801962
93,0.800260
94,0.799484
95,0.797460
96,0.798664
97,0.798432
98,0.796251
99,0.796853
100,0.797952
101,0.795667
102,0.797500
103,0.797165
104,0.800465
105,0.803491
106,0.806440
107,0.820012
108,0.826518
109,0.858340
110,0.860072
111,0.855584
112,0.863824
113,0.837265
114,0.830402
115,0.817050
116,0.815947
117,0.811592
118,0.803233
119,0.796019
120,0.796702
121,0.791809
122,0.789428
123,0.785810
124,0.786878
125,0.788623
126,0.790687
127,0.792164
128,0.791508
129,0.794543
130,0.796228
131,0.797184
132,0.793381
133,0.794110
134,0.798579
135,0.802476
136,0.806435
137,0.818317
138,0.819984
139,0.821492
140,0.823118
141,0.826865
142,0.830661
143,0.831095
144,0.830707
145,0.821402
146,0.822664
147,0.824541
148,0.825071
149,0.825455
150,0.837446
151,0.833628
152,0.839007
153,0.837330
154,0.838368
155,0.843230
156,0.838991
157,0.845812
158,0.843525
159,0.844305
160,0.843822
161,0.846293
162,0.844631
163,0.849828
164,0.855580
165,0.859102
166,0.857008
167,0.865891
168,0.867166
169,0.876044
170,0.878872
171,0.879852
172,0.875507
173,0.873179
174,0.871795
175,0.868518
176,0.863734
177,0.862034
178,0.859492
179,0.852062
180,0.858927
181,0.856706
182,0.853403
183,0.854076
184,0.855098
185,0.855700
186,0.856538
187,0.858829
188,0.859476
189,0.860173
190,0.863527
191,0.864923
192,0.862198
193,0.865299
194,0.867804
195,0.868436
196,0.865819
197,0.864859
198,0.864056
199,0.871361
200,0.864754
201,0.867148
202,0.870398
203,0.873087
204,0.872224
205,0.883095
206,0.890044
207,0.890979
208,0.889445
209,0.898618
210,0.908029
211,0.908971
212,0.909726
213,0.909765
214,0.913181
215,0.917512
216,0.914595
