Time  Yaw  Pitch  Roll
0 0 0 0
0,02 0 0 0
0,04 320,2788 16,13588 3,612503
0,06 320,2788 16,13588 3,612503
0,08 320,2788 16,13588 3,612503
0,09999999 320,2788 16,13588 3,612503
0,12 320,2788 16,13588 3,612503
0,14 321,2096 15,47239 2,242981
0,16 321,2096 15,47239 2,242981
0,18 322,3871 14,45489 0,3506439
0,2 322,7811 14,11074 359,586
0,22 323,2102 13,77129 358,8472
0,24 323,6844 13,54362 358,1958
0,26 324,2208 13,37242 357,5915
0,28 324,4822 13,20324 357,3474
0,3 324,992 13,03746 356,8278
0,32 325,5286 12,9001 356,3008
0,34 326,0581 12,78793 355,9038
0,36 326,4537 12,75977 355,4312
0,38 326,615 12,74704 355,3
0,4 326,9627 12,78751 354,9851
0,42 327,1487 12,69522 354,718
0,44 327,2415 12,43838 354,5917
0,46 327,1687 12,25201 354,4508
0,48 327,1815 12,23411 354,3955
0,5 327,0676 12,20733 354,3286
0,52 327,0213 12,27848 354,3329
0,54 326,9186 12,39426 354,364
0,56 326,9216 12,39507 354,4088
0,58 326,8387 12,52631 354,4612
0,6 326,8835 12,57746 354,5158
0,62 327,0088 12,5146 354,4364
0,64 327,2222 12,33884 354,3113
0,66 327,3979 12,26852 354,3422
0,68 327,6772 11,93998 354,4332
0,7 328,1312 11,66541 354,6889
0,72 328,5583 11,59499 354,872
0,74 328,9497 11,51067 355,2411
0,76 329,209 11,55738 355,4254
0,78 329,61 11,62917 355,7639
0,8 329,9365 11,75103 356,0574
0,82 330,2665 11,85721 356,3525
0,84 330,4257 11,99192 356,6898
0,86 330,5714 12,05434 356,8335
0,88 330,6901 12,18506 357,0859
0,9 330,7681 12,30714 357,3948
0,92 330,7689 12,35947 357,5558
0,94 330,6408 12,61622 357,9093
0,96 330,5838 12,67902 358,0596
0,98 330,524 12,81428 358,3108
1 330,5427 12,69709 358,4768
1,02 330,5787 12,62579 358,7097
1,04 330,8547 12,38073 359,1577
1,06 330,8547 12,38073 359,1577
1,08 330,904 12,49421 359,6301
1,1 330,8547 12,93429 0,2455517
1,12 330,6391 13,46939 0,7921776
1,14 330,2892 13,84606 1,139677
1,16 330,2892 13,84606 1,139677
1,18 329,9326 14,02415 1,312906
1,2 329,7269 14,18465 1,404869
1,22 329,4258 14,34603 1,504646
1,24 329,2454 14,47876 1,738828
2,24 336,9987 9,226415 357,3451
2,26 337,5354 9,403594 356,8412
2,28 338,1917 9,599969 356,4115
2,3 339,5697 9,909096 355,5609
2,32 339,5697 9,909096 355,5609
2,34 340,4863 9,994959 355,0099
2,36 341,7366 9,860069 354,5219
2,38 342,9966 9,739099 354,3111
2,4 344,045 9,592312 354,1567
2,42 344,045 9,592312 354,1567
2,44 345,1135 9,323746 354,1734
2,46 346,002 9,16157 354,1801
2,48 346,5801 8,840553 354,1865
2,5 347,0382 8,719647 354,2393
2,52 347,2657 8,4996 354,1926
2,54 347,2539 8,44236 353,9988
2,56 347,2539 8,44236 353,9988
2,58 347,0938 8,469745 353,8045
2,6 346,7744 8,548455 353,7979
2,62 346,3941 8,721781 353,5639
2,64 346,0309 8,929401 353,4176
2,66 345,8282 8,976175 353,3872
2,68 345,4855 9,232224 353,3165
2,7 345,1681 9,483638 353,3638
2,72 345,0283 9,613035 353,3824
2,74 344,7735 9,825959 353,4236
2,76 344,5563 9,993376 353,4782
2,78 344,3943 10,07424 353,5817
2,8 344,3701 10,192 353,6854
2,82 344,3058 10,25058 353,8098
2,84 344,3038 10,21041 353,9113
2,86 344,401 10,18528 354,0807
2,88 344,4855 10,13793 354,2695
2,9 344,6398 10,03004 354,4276
2,92 344,7819 9,978861 354,6748
2,94 344,8859 9,929837 354,8197
2,96 345,0652 9,798282 355,0054
2,98 345,4016 9,682988 355,1368
3 345,8799 9,608494 355,2519
3,02 346,4507 9,548862 355,3488
3,04 346,8569 9,516028 355,4332
3,06 347,7841 9,4993 355,7375
3,08 348,8857 9,421483 356,0332
3,1 350,2776 9,441806 356,3305
