Time  Yaw  Pitch  Roll
0 0 0 0
0,02 0 0 0
0,04 151,231 12,91971 0,8091969
0,06 151,231 12,91971 0,8091969
0,08 151,231 12,91971 0,8091969
0,09999999 151,231 12,91971 0,8091969
0,12 151,231 12,91971 0,8091969
0,14 151,6424 12,38587 1,054443
0,16 151,8332 12,09075 1,179367
0,18 151,8332 12,09075 1,179367
0,2 151,8332 12,09075 1,179367
0,22 151,8332 12,09075 1,179367
0,24 151,8877 12,06194 1,453851
0,26 151,9329 12,18643 1,495475
0,28 152,011 12,21808 1,452252
0,3 152,2921 12,41354 1,200266
0,32 152,5205 12,5507 1,043434
0,34 152,9193 12,7436 1,030939
0,36 153,4177 12,81757 0,8632707
0,38 153,7321 12,88305 0,7673918
0,4 154,3834 12,83513 0,4234667
0,42 155,0598 12,69437 359,8539
0,44 155,6469 12,53413 359,4211
0,46 156,2925 12,34162 359,1358
0,48 156,6669 12,34072 359,0174
0,5 157,2031 12,26627 358,7682
0,52 157,8196 12,23228 358,5754
0,54 158,447 12,29663 358,4912
0,56 159,0064 12,41575 358,4063
0,58 159,1896 12,51348 358,333
0,6 159,5879 12,70524 358,1359
0,62 160,4673 13,15219 357,4243
0,64 160,6137 13,32922 357,0674
0,66 160,5306 13,40725 356,7595
0,68 160,5306 13,40725 356,7595
0,7 160,5614 13,43731 356,4881
0,72 160,6086 13,50547 356,1538
0,74 160,7402 13,56437 355,814
0,76 160,8304 13,77488 355,4926
0,78 160,8304 13,77488 355,4926
0,8 161,1006 13,97767 355,3762
0,82 161,3449 14,28267 355,1465
0,84 161,5143 14,63304 355,0483
0,86 161,6578 14,96312 355,0546
0,88 161,7284 15,23477 354,9531
0,9 161,5889 15,44041 354,8533
0,92 161,4672 15,52551 354,7754
0,94 161,39 15,54489 354,6496
0,96 161,39 15,54489 354,6496
0,98 161,3135 15,48265 354,6852
1 161,2402 15,42245 354,7012
1,02 161,1267 15,46019 354,771
1,04 161,0959 15,55998 354,9397
1,06 161,0355 15,64286 355,0832
1,08 160,8795 15,62353 355,2431
1,1 160,819 15,59675 355,5121
1,12 160,74 15,55487 355,7399
1,14 160,6757 15,46411 355,9059
1,16 160,6757 15,46411 355,9059
1,18 160,738 15,45594 356,1802
1,2 160,5902 15,44567 356,4377
1,22 160,4898 15,32275 356,5409
1,24 160,2257 15,16478 356,5883
1,26 160,049 15,16555 356,4223
1,28 159,8589 15,15438 356,3679
1,3 159,7456 15,09044 356,2699
1,32 159,6296 15,10384 356,183
1,34 159,547 15,04751 356,0231
1,36 159,547 15,04751 356,0231
1,38 159,4219 15,12385 356,0099
1,4 159,0719 15,1982 355,8979
1,42 158,9209 15,27015 355,7035
1,44 158,8174 15,30822 355,6076
1,46 158,675 15,30521 355,5622
1,48 158,5673 15,14814 355,315
1,5 158,5921 15,16234 355,1964
1,52 158,6584 15,13989 355,251
1,54 158,6584 15,13989 355,251
1,56 158,701 15,17322 355,2388
1,58 158,8087 15,19644 355,2352
1,6 158,9209 15,09362 355,2975
1,62 158,9699 15,0123 355,267
1,64 158,8876 14,92825 355,2251
1,66 158,7728 14,85704 355,3101
1,68 158,6883 14,77417 355,4487
1,7 158,4555 14,88272 355,3875
1,72 158,3185 15,08391 355,5031
1,74 158,3261 15,12558 355,5115
1,76 158,3131 15,16864 355,521
1,78 158,2533 15,17751 355,5394
1,8 158,257 15,0492 355,5841
1,82 158,2048 14,67467 355,5364
1,84 158,2167 14,54664 355,5406
1,86 158,1452 14,18735 355,5616
1,88 158,16 13,86199 355,5276
1,9 158,0953 13,68177 355,5186
1,92 158,0132 13,58531 355,4632
1,94 158,0327 13,62294 355,4483
1,96 157,9356 13,64741 355,5305
1,98 157,7599 13,64005 355,5856
2 157,6582 13,80271 355,8329
2,02 157,5463 13,803 355,843
2,04 157,4598 13,85965 355,7982
2,06 157,28 13,88641 355,8094
2,08 156,9959 13,74242 355,8733
2,1 156,8156 13,66103 356,0368
2,12 156,4823 13,65053 356,0787
2,14 156,2912 13,62148 356,0035
