frame,value
0,0.464074
1,0.468166
2,0.470507
3,0.473845
4,0.475805
5,0.476194
6,0.478665
7,0.483076
8,0.486431
9,0.490400
10,0.497740
11,0.499817
12,0.502155
13,0.505282
14,0.508939
15,0.513499
16,0.528896
17,0.516766
18,0.519781
19,0.532830
20,0.536368
21,0.540685
22,0.547820
23,0.550625
24,0.552814
25,0.554558
26,0.553580
27,0.553808
28,0.549799
29,0.547439
30,0.551031
31,0.546035
32,0.541943
33,0.536100
34,0.532282
35,0.528304
36,0.527001
37,0.524199
38,0.520732
39,0.520351
40,0.516083
41,0.517580
42,0.517223
43,0.511269
44,0.507895
45,0.506042
46,0.500190
47,0.491626
48,0.487230
49,0.480454
50,0.470631
51,0.466270
52,0.456534
53,0.461029
54,0.459985
55,0.455376
56,0.455349
57,0.453763
58,0.449415
59,0.446725
60,0.549630
61,0.543823
62,0.538569
63,0.535402
64,0.504177
65,0.541914
66,0.531541
67,0.520252
68,0.518034
69,0.508624
70,0.512640
71,0.510318
72,0.509230
73,0.502261
74,0.499614
75,0.494829
76,0.486994
77,0.481312
78,0.475422
79,0.469554
80,0.459841
81,0.455699
82,0.438954
83,0.426038
84,0.410658
85,0.381716
86,0.353028
87,0.350361
88,0.333468
89,0.318448
90,0.327640
91,0.300928
92,0.284455
93,0.274664
94,0.263872
95,0.253939
96,0.249303
97,0.242656
98,0.240119
99,0.240538
100,0.247102
101,0.250983
102,0.251849
103,0.252328
104,0.262118
105,0.275063
106,0.295901
107,0.312017
108,0.320868
109,0.340097
110,0.352386
111,0.355224
112,0.370667
113,0.376806
114,0.387592
115,0.389451
116,0.384775
117,0.387182
118,0.383260
119,0.380949
120,0.381986
121,0.384060
122,0.397319
123,0.398850
124,0.398874
125,0.265500
126,0.265303
127,0.279982
128,0.282978
129,0.288609
130,0.284377
131,0.282813
132,0.281315
133,0.276721
134,0.275663
135,0.272154
136,0.269663
137,0.267003
138,0.268119
139,0.264698
140,0.261266
141,0.257516
