Time  Yaw  Pitch  Roll
0 0 0 0
0,02 0 0 0
0,04 324,1996 12,36527 359,2318
0,06 324,1996 12,36527 359,2318
0,08 324,1996 12,36527 359,2318
0,09999999 324,1996 12,36527 359,2318
0,12 324,1996 12,36527 359,2318
0,14 323,7245 12,59272 359,1958
0,16 322,7763 13,06304 359,2542
0,18 322,7763 13,06304 359,2542
0,2 321,436 13,7992 359,4222
0,22 320,4875 14,43789 359,7419
0,24 319,2393 15,48702 0,005571242
0,26 317,6717 16,40693 0,002146717
0,28 316,2129 17,23405 359,7498
0,3 314,8904 17,72107 359,3009
0,32 314,3382 17,7884 359,0418
0,34 313,2648 17,66947 358,748
0,36 312,3745 17,50762 358,5402
0,38 311,6029 17,32154 358,4361
0,4 311,0506 17,19415 358,3469
0,42 310,7346 17,13245 358,3315
0,44 310,5951 17,16147 358,3035
0,46 310,6171 17,19382 358,3817
0,48 310,8876 17,23398 358,4778
0,5 311,2081 17,30616 358,656
0,52 311,7293 17,48645 358,8907
0,54 312,3449 17,41157 359,1976
0,56 313,0103 17,2743 359,5408
0,58 313,5539 16,99755 359,6412
0,6 314,1061 16,78174 359,7615
0,62 314,3592 16,66942 359,764
0,64 314,7943 16,45144 359,8252
0,66 315,1909 16,25266 359,8198
0,68 315,6559 16,11783 359,8238
0,7 315,8624 16,03553 359,9059
0,72 317,2466 15,69968 0,2938586
0,74 317,5494 15,57315 0,4090105
0,76 318,0636 15,21215 0,7627365
0,78 318,569 14,77231 1,020812
0,8 318,569 14,77231 1,020812
0,82 319,1794 14,24934 1,172673
0,84 319,8984 13,78689 1,456452
0,86 320,6474 13,5335 1,653521
0,88 321,2898 13,38686 1,875167
0,9 321,8389 13,5648 2,115598
0,92 321,8389 13,5648 2,115598
0,94 322,1499 13,82413 2,291173
0,96 322,4268 14,17313 2,26387
0,98 322,5445 14,60219 2,145613
1 322,6159 14,71132 2,027988
1,02 322,4472 14,73205 1,865387
1,04 322,3455 14,6213 1,806314
1,06 322,2988 14,50034 1,736688
1,08 322,2507 14,35514 1,643867
1,1 322,2507 14,35514 1,643867
1,12 322,1894 14,22661 1,570682
1,14 322,1792 13,98735 1,537774
1,16 322,2695 13,78392 1,584388
1,18 322,3699 13,49092 1,593208
1,2 322,4898 13,32418 1,693293
1,22 322,5787 13,26525 1,752628
1,24 322,7705 13,08798 2,146299
1,26 322,8895 13,14899 2,306383
1,28 323,0441 13,15507 2,441015
1,3 323,0441 13,15507 2,441015
1,32 323,1582 13,22119 2,443138
1,34 323,2805 13,24663 2,436751
1,36 323,4951 13,28064 2,483389
1,38 323,6821 13,31803 2,493586
1,4 323,7716 13,41831 2,512243
1,42 323,8898 13,52404 2,560898
1,44 323,984 13,69627 2,608788
1,46 323,9922 13,85351 2,685899
1,48 323,9642 14,11698 2,733603
1,5 323,9642 14,11698 2,733603
1,52 323,8976 14,43679 2,710575
1,54 323,9522 14,32144 2,656664
1,56 323,9557 14,28222 2,594884
1,58 323,9742 14,19194 2,550987
1,6 323,9847 14,08857 2,5468
1,62 324,0514 13,97773 2,508518
1,64 324,1421 13,88722 2,449306
1,66 324,2468 13,85145 2,39512
1,68 324,2626 13,87836 2,379186
1,7 324,2626 13,87836 2,379186
1,72 324,3143 13,97384 2,334132
1,74 324,3361 14,00826 2,236975
1,76 324,3968 13,96913 1,936093
1,78 324,3845 13,93532 1,56818
1,8 324,4143 13,94319 1,364769
1,82 324,4618 14,01949 1,008941
1,84 324,6435 14,23485 0,672573
1,86 324,9523 14,47837 0,318712
1,88 325,1432 14,60184 0,1283841
1,9 325,6508 14,73562 359,953
1,92 326,0988 14,83237 359,8678
1,94 326,5555 14,87844 359,9766
1,96 326,9947 15,01193 0,02034743
1,98 327,224 15,01824 0,04336477
2 327,7615 15,02232 359,9813
2,02 328,3056 14,92828 359,9843
2,04 328,7251 14,95223 0,04850379
2,06 329,1502 15,10194 0,1717461
2,08 329,3086 15,16148 0,2184699
2,1 329,6233 15,09284 0,2264174
