frame,value
0,0.937896
1,0.940453
2,0.942440
3,0.935122
4,0.933552
5,0.933045
6,0.930822
7,0.929198
8,0.924112
9,0.927284
10,0.927274
11,0.927745
12,0.927670
13,0.929966
14,0.932422
15,0.933884
16,0.934349
17,0.933657
18,0.933895
19,0.933184
20,0.937409
21,0.938970
22,0.938945
23,0.940210
24,0.943158
25,0.940407
26,0.939299
27,0.939032
28,0.937937
29,0.936935
30,0.941751
31,0.945716
32,0.946820
33,0.942472
34,0.943560
35,0.941443
36,0.941696
37,0.939625
38,0.939413
39,0.943281
40,0.942295
41,0.944427
42,0.944808
43,0.936306
44,0.942457
45,0.941085
46,0.941238
47,0.940224
48,0.933590
49,0.931635
50,0.931401
51,0.930910
52,0.930566
53,0.925026
54,0.926965
55,0.926439
56,0.924864
57,0.925434
58,0.925364
59,0.925297
60,0.929011
61,0.928509
62,0.927750
63,0.927815
64,0.926544
65,0.931145
66,0.928025
67,0.926596
68,0.925699
69,0.922378
70,0.919334
71,0.916542
72,0.914174
73,0.918488
74,0.917320
75,0.915099
76,0.911155
77,0.908440
78,0.910346
79,0.907803
80,0.908572
81,0.908080
82,0.908159
83,0.908914
84,0.909528
85,0.915509
86,0.915431
87,0.912353
88,0.911463
89,0.911055
90,0.915156
91,0.913541
92,0.922951
93,0.922104
94,0.910368
95,0.906160
96,0.907076
97,0.908062
98,0.908551
99,0.912251
100,0.918511
101,0.916283
102,0.914715
103,0.917574
104,0.917459
105,0.917378
106,0.916342
107,0.914727
108,0.912458
109,0.910492
110,0.909845
111,0.908895
112,0.910865
113,0.911370
114,0.911044
115,0.911834
116,0.912662
117,0.914300
118,0.915509
119,0.913163
120,0.922641
121,0.920898
122,0.920356
123,0.919949
124,0.919703
125,0.918838
126,0.918836
127,0.918793
128,0.918058
129,0.918063
130,0.923783
131,0.925465
132,0.925165
133,0.923132
134,0.920998
135,0.920566
136,0.917697
137,0.916909
138,0.915630
139,0.915724
140,0.915538
141,0.914716
142,0.914504
143,0.912692
144,0.909740
145,0.906068
146,0.906255
147,0.907544
148,0.910048
149,0.910882
150,0.918445
151,0.917147
152,0.915717
153,0.913394
154,0.911556
155,0.910132
156,0.909273
157,0.906193
158,0.906990
159,0.908843
160,0.911660
161,0.915629
162,0.916802
163,0.917963
164,0.920009
165,0.918985
166,0.920025
167,0.920916
168,0.922212
169,0.928505
170,0.928927
171,0.929722
172,0.930878
173,0.930405
174,0.929059
175,0.927660
176,0.926592
177,0.927222
178,0.927214
179,0.930118
180,0.938968
181,0.942412
182,0.943224
183,0.942982
184,0.943343
185,0.942900
186,0.942642
187,0.941405
188,0.941029
189,0.941250
190,0.941151
191,0.939399
192,0.937941
193,0.933896
194,0.932478
195,0.932266
196,0.927765
197,0.925256
198,0.922817
199,0.924263
200,0.922108
201,0.922231
202,0.919912
203,0.917691
204,0.914502
205,0.911586
206,0.909771
207,0.908638
208,0.907482
209,0.907219
210,0.913381
211,0.913575
212,0.913616
213,0.913924
214,0.913781
215,0.914046
216,0.914984
217,0.915478
218,0.916315
219,0.916887
220,0.914221
221,0.921400
222,0.921594
223,0.920401
224,0.925725
225,0.931222
226,0.936159
227,0.936757
228,0.936070
229,0.936338
230,0.943961
231,0.956467
232,0.964296
233,0.969219
234,0.976303
235,0.978286
236,0.979922
237,0.981559
238,0.983064
239,0.983804
240,0.991867
241,0.992340
242,0.953207
243,0.951057
244,0.954503
245,0.957496
246,0.960395
247,0.961132
248,0.964283
249,0.967741
250,0.969913
251,0.972556
252,0.908070
253,0.916199
254,0.914305
255,0.909731
256,0.915490
257,0.913761
258,0.896664
259,0.906707
260,0.903940
261,0.898939
262,0.913406
263,0.910929
264,0.914760
265,0.920747
266,0.920264
267,0.931819
268,0.929341
269,0.938430
270,0.940799
271,0.958245
272,0.962659
273,0.973752
274,0.973354
275,0.973314
276,0.963354
277,0.972224
278,0.980156
279,0.960168
280,0.961026
281,0.949531
282,0.934849
283,0.934083
284,0.895949
285,0.891597
286,0.894323
287,0.902485
288,0.916068
289,0.943973
290,0.973944
291,0.988774
292,0.996938
293,0.997286
294,0.991997
295,0.977487
296,0.961013
297,0.928496
298,0.906256
299,0.914715
300,0.908472
301,0.912115
302,0.902332
303,0.886332
304,0.918706
305,0.911722
306,0.910515
307,0.907559
308,0.900541
309,0.891187
310,0.888969
311,0.883084
312,0.883266
313,0.882156
314,0.885359
315,0.883045
316,0.883002
317,0.881246
318,0.885749
319,0.883904
320,0.882990
321,0.880840
322,0.885625
323,0.880156
324,0.877968
325,0.872030
326,0.876709
327,0.877588
328,0.873934
329,0.879013
330,0.886678
331,0.887017
332,0.886415
333,0.889446
334,0.887506
335,0.889298
336,0.883790
337,0.882842
338,0.879035
339,0.877670
340,0.875159
341,0.869370
342,0.866733
343,0.869032
344,0.867417
345,0.868549
346,0.868801
347,0.868652
348,0.868523
349,0.867991
350,0.868947
351,0.869331
352,0.869909
353,0.869259
354,0.864415
355,0.864110
356,0.870925
357,0.873172
358,0.868340
359,0.866477
360,0.871526
361,0.868424
362,0.865188
363,0.865072
364,0.863400
365,0.867179
366,0.868375
367,0.859986
368,0.858288
369,0.858122
370,0.851388
371,0.851580
372,0.847743
373,0.848657
374,0.843780
375,0.846286
376,0.844792
377,0.845519
378,0.846842
379,0.844682
380,0.855089
381,0.856940
382,0.859360
383,0.854683
384,0.852788
385,0.855854
386,0.867564
387,0.872128
388,0.875270
389,0.876732
390,0.882219
391,0.883985
392,0.881334
393,0.879850
394,0.879984
395,0.879606
396,0.885568
397,0.887100
398,0.888171
399,0.888868
400,0.884118
401,0.879082
402,0.879835
403,0.876415
404,0.875921
405,0.867775
406,0.872551
407,0.878854
408,0.882644
409,0.877822
410,0.877945
411,0.877242
412,0.877119
413,0.875549
414,0.875326
415,0.879496
416,0.878753
417,0.877212
418,0.879387
419,0.886375
420,0.890855
421,0.887157
422,0.888803
423,0.887936
424,0.891412
425,0.887662
426,0.881709
427,0.879603
428,0.879419
429,0.876584
430,0.878314
431,0.877647
432,0.881239
433,0.878228
434,0.879601
435,0.880150
436,0.882089
437,0.882848
438,0.879961
439,0.885234
440,0.887097
441,0.892220
442,0.885673
443,0.886929
444,0.887231
445,0.889057
446,0.891285
447,0.894546
448,0.895617
449,0.896307
450,0.900892
451,0.895787
452,0.891940
453,0.891189
454,0.850684
455,0.848232
456,0.848099
457,0.849916
458,0.850259
459,0.847778
460,0.845062
461,0.847564
462,0.844826
463,0.846647
464,0.847438
465,0.846969
466,0.849448
467,0.844062
468,0.842468
469,0.843714
470,0.844847
471,0.840706
472,0.841996
473,0.839947
474,0.840757
475,0.837275
476,0.846868
477,0.840634
478,0.842676
479,0.841720
480,0.845313
481,0.847150
482,0.855278
483,0.850484
484,0.836884
485,0.837586
486,0.833801
487,0.832997
488,0.831533
489,0.822418
490,0.826205
491,0.835860
492,0.843909
493,0.847020
494,0.852286
495,0.857478
496,0.859378
497,0.862124
498,0.864896
499,0.870968
500,0.867184
501,0.871195
502,0.868770
503,0.867559
504,0.871848
505,0.868103
506,0.869476
507,0.862943
508,0.860572
509,0.855750
510,0.849210
511,0.843913
512,0.843332
513,0.829796
514,0.822117
515,0.820269
516,0.824679
517,0.822936
518,0.831679
519,0.823415
520,0.826961
521,0.829750
522,0.833680
523,0.833498
524,0.843050
525,0.843232
526,0.851683
527,0.853302
528,0.849808
529,0.852305
530,0.855420
531,0.850545
532,0.848621
533,0.853559
534,0.849570
535,0.845805
536,0.847231
537,0.847385
538,0.849162
539,0.850211
540,0.848652
541,0.851351
542,0.851434
543,0.849867
544,0.849314
545,0.843433
546,0.846345
547,0.844258
548,0.843615
549,0.841123
550,0.841122
551,0.836602
552,0.837702
553,0.835517
554,0.837671
555,0.836378
556,0.834935
557,0.832758
558,0.828948
559,0.826691
560,0.828031
561,0.830921
562,0.839486
563,0.840201
564,0.842172
565,0.840752
566,0.845267
567,0.845955
568,0.844474
569,0.843327
570,0.841816
571,0.840811
572,0.836751
573,0.834436
574,0.838000
575,0.835507
576,0.845222
577,0.843933
578,0.845198
579,0.841423
580,0.845048
581,0.843947
582,0.846038
583,0.845073
584,0.848056
585,0.846323
586,0.841854
587,0.846779
588,0.844763
589,0.852490
590,0.850713
591,0.851171
592,0.852037
593,0.855044
594,0.855222
595,0.855354
596,0.855560
597,0.857500
598,0.858987
599,0.859811
600,0.860827
601,0.857768
602,0.856749
603,0.859193
604,0.857602
605,0.856905
606,0.855560
607,0.854788
608,0.855845
609,0.857163
610,0.856741
611,0.855583
612,0.854405
613,0.850724
614,0.849508
615,0.851782
616,0.851130
617,0.852015
618,0.850515
619,0.849700
620,0.847314
621,0.850552
622,0.848910
623,0.849782
624,0.848105
625,0.844829
626,0.844366
627,0.844921
628,0.843127
629,0.842638
630,0.844461
631,0.847178
632,0.843586
633,0.843796
634,0.837453
635,0.840295
636,0.838428
637,0.840848
638,0.838498
639,0.840525
640,0.840535
641,0.842360
642,0.841501
643,0.848022
644,0.847720
645,0.852765
646,0.847129
647,0.847815
648,0.850441
649,0.847083
650,0.855801
651,0.852862
652,0.856193
653,0.857401
654,0.855038
655,0.853832
656,0.857452
657,0.857105
658,0.858152
659,0.855867
660,0.864300
661,0.864382
662,0.862882
663,0.861063
664,0.861050
665,0.865865
666,0.863780
667,0.864803
668,0.858331
669,0.861622
670,0.858880
671,0.859853
672,0.862180
673,0.865508
674,0.862128
675,0.861684
676,0.861401
677,0.854926
678,0.857876
679,0.850055
680,0.851601
681,0.848048
682,0.858979
683,0.859056
684,0.861062
685,0.855552
686,0.856262
687,0.859589
688,0.857487
689,0.854585
690,0.862012
691,0.860314
692,0.862023
693,0.859260
694,0.858984
695,0.858942
696,0.857933
697,0.857056
698,0.856973
699,0.857037
700,0.857478
701,0.855375
702,0.856448
703,0.856470
704,0.858869
705,0.858623
706,0.858612
707,0.859574
708,0.861741
709,0.860063
710,0.858666
711,0.858755
712,0.858756
713,0.860099
714,0.858379
715,0.855524
716,0.856705
717,0.857471
718,0.857327
719,0.855958
720,0.862253
721,0.860355
722,0.861444
723,0.858082
