Time  Yaw  Pitch  Roll
0 0 0 0
0,02 0 0 0
0,04 197,3407 2,936777 0,9893172
0,06 197,3407 2,936777 0,9893172
0,08 197,3407 2,936777 0,9893172
0,09999999 197,3407 2,936777 0,9893172
0,12 197,3407 2,936777 0,9893172
0,14 198,843 2,857123 0,7331676
0,16 198,843 2,857123 0,7331676
0,18 198,843 2,857123 0,7331676
0,2 198,9982 2,858945 0,69773
0,22 199,7172 2,847673 0,4816148
0,24 199,9224 2,817527 0,4074358
0,26 200,2484 2,745856 0,1938055
0,28 200,4743 2,704232 0,06365013
0,3 200,8952 2,638752 359,9455
0,32 201,3974 2,561143 359,9796
0,34 201,9265 2,422461 0,1060482
0,36 202,4694 2,246121 0,01604158
0,38 202,8736 2,074233 0,0292799
0,4 203,5576 1,771006 0,04690005
0,42 204,3267 1,533196 0,05598988
0,44 205,0686 1,34637 0,09712878
0,46 205,8158 1,16961 0,2737953
0,48 206,1426 1,143189 0,422915
0,5 206,7707 1,131718 0,6795606
0,52 207,4323 1,073197 0,8139139
0,54 208,0856 0,9616877 1,020244
0,56 208,6558 0,8808296 1,329951
0,58 208,8978 0,8822025 1,461067
0,6 209,2823 1,024492 1,756938
0,62 209,6017 1,196721 2,014345
0,64 209,8444 1,340261 2,410946
0,66 209,9156 1,328357 2,506089
0,68 210,0295 1,472447 2,783306
0,7 210,0322 1,71563 2,893397
0,72 210,0793 1,901859 3,11564
0,74 209,9078 2,486453 3,284405
0,76 209,9078 2,486453 3,284405
0,78 209,6766 2,88868 3,261979
0,8 209,3809 3,218113 3,19082
0,82 209,1918 3,275402 3,113636
0,84 209,0198 3,372206 3,039355
0,86 208,8446 3,447049 3,005408
0,88 208,7286 3,645124 3,006862
0,9 208,7286 3,645124 3,006862
0,92 208,7859 3,589555 3,07458
0,94 208,7475 3,63913 3,181916
0,96 208,7779 3,569751 3,319221
0,98 208,894 3,467061 3,522805
1 209,0876 3,215885 3,747088
1,02 209,2173 3,095732 3,95091
1,04 209,348 3,031569 4,075645
1,06 209,3591 2,865349 4,176334
1,08 209,3838 2,879929 4,319829
1,1 209,3838 2,879929 4,319829
1,12 209,4594 2,941179 4,359415
1,14 209,5317 2,989823 4,551682
1,16 209,6384 3,059102 4,609843
1,18 209,7106 3,184944 4,715565
1,2 209,9068 3,291712 4,748898
1,22 209,9619 3,317539 4,789415
1,24 210,1088 3,391078 4,816397
1,26 210,3589 3,498687 4,838222
1,28 210,6155 3,610826 4,82252
1,3 210,6155 3,610826 4,82252
1,32 210,7165 3,656412 4,784653
1,34 210,8584 3,670396 4,775167
1,36 211,0343 3,707504 4,719922
1,38 211,1551 3,695341 4,697024
1,4 211,2753 3,699775 4,695045
1,42 211,4137 3,696697 4,710043
1,44 211,4653 3,663535 4,701972
1,46 211,491 3,633433 4,713122
1,48 211,5144 3,58199 4,688639
1,5 211,5144 3,58199 4,688639
1,52 211,5351 3,558704 4,673843
1,54 211,5659 3,467625 4,649364
1,56 211,593 3,393923 4,614446
1,58 211,6104 3,354436 4,560421
1,6 211,6745 3,283588 4,509377
1,62 211,8173 3,18867 4,471104
1,64 212,0885 3,076004 4,508565
1,66 212,3134 3,005293 4,492257
1,68 212,6709 2,950974 4,405407
1,7 212,6709 2,950974 4,405407
1,72 212,9149 2,947212 4,372833
1,74 213,1954 2,963538 4,440426
1,76 213,3415 2,967952 4,476026
1,78 213,4259 2,95022 4,488768
1,8 213,4782 2,961661 4,474996
1,82 213,539 2,952675 4,511215
1,84 213,5692 2,962662 4,509789
1,86 213,571 2,981064 4,502735
1,88 213,5869 2,982342 4,505544
1,9 213,6014 3,004733 4,477652
1,92 213,5983 3,016217 4,474171
1,94 213,5969 3,039936 4,470348
1,96 213,5922 3,051809 4,473863
1,98 213,6165 3,069447 4,490853
2 213,6425 3,127638 4,520439
2,02 213,6727 3,146369 4,563545
2,04 213,7219 3,157658 4,58529
2,06 213,7453 3,157714 4,591059
2,08 213,7913 3,179648 4,575613
2,1 213,8333 3,187641 4,549533
