Time  Yaw  Pitch  Roll
0 0 0 0
0,02 0 0 0
0,04 191,4438 44,62308 340,5246
0,06 191,4438 44,62308 340,5246
0,08 191,4438 44,62308 340,5246
0,09999999 191,4438 44,62308 340,5246
0,12 191,4438 44,62308 340,5246
0,14 191,9645 44,70869 340,9153
0,16 192,1629 44,61045 341,0739
0,18 192,3189 44,3469 341,1299
0,2 192,2498 43,9494 340,7308
0,22 192,0673 43,87419 339,786
0,24 191,8546 44,09626 338,4028
0,26 191,5001 44,93511 336,3027
0,28 191,3437 45,93448 335,0211
0,3 191,3492 47,10386 334,2628
0,32 191,5553 48,89766 333,8807
0,34 191,7336 50,27494 333,7109
0,36 191,8938 51,72537 333,4698
0,38 192,2138 53,86246 333,0057
0,4 192,3426 54,89244 332,599
0,42 192,4646 56,5624 331,7257
0,44 192,4548 57,83971 330,9558
0,46 192,417 59,15405 330,2078
0,48 192,7403 60,87178 329,5641
0,5 193,162 61,90808 329,2231
0,52 193,588 62,60879 328,8534
0,54 193,9252 63,25703 328,1036
0,56 194,0301 63,64696 327,4848
0,58 194,1401 64,01853 326,8962
0,6 194,3727 64,35682 326,3698
0,62 194,8293 64,8044 325,6655
0,64 195,139 65,20454 324,8922
0,66 195,519 65,68175 323,904
0,68 195,874 66,0027 323,2772
0,7 196,1718 66,22499 322,7035
0,72 197,3869 66,06809 323,0172
0,74 198,4446 65,68275 323,6758
0,76 199,6651 65,16791 324,6471
0,78 200,7612 64,48878 325,5746
0,8 201,8615 63,64551 326,3911
0,82 202,5698 63,126 326,84
0,84 203,3012 62,72186 327,2622
0,86 204,0403 62,26448 327,528
0,88 204,8113 61,58925 327,5982
0,9 205,464 61,02819 327,7029
0,92 206,2949 60,42599 327,9595
0,94 207,3238 59,60404 328,0302
0,96 208,1395 59,0278 327,9768
0,98 209,1117 58,54076 327,8962
1 211,0491 57,97962 328,0085
1,02 212,6678 57,85927 328,1579
1,04 214,2578 57,87376 328,259
1,06 216,1945 57,93471 328,5563
1,08 217,6783 57,93756 329,1297
1,1 220,0509 58,03465 330,6339
1,12 223,9941 58,28628 333,5988
1,14 227,235 58,58866 336,0964
1,16 230,3321 58,92875 338,4636
1,18 233,4663 59,3632 340,8961
1,92 252,2537 49,34516 351,1349
1,94 252,8563 48,88134 351,5529
1,96 253,4092 48,41342 351,8891
1,98 254,0536 47,68859 352,215
2 254,4424 47,09473 352,429
2,02 254,8391 46,50478 352,6783
2,04 255,4269 45,73547 353,1628
2,06 255,7801 45,22556 353,5225
2,08 256,0537 44,73191 353,9017
2,1 256,1732 44,22437 354,2511
2,12 256,3316 43,43557 354,8175
2,14 256,5353 42,84076 355,2818
2,16 256,8063 42,11959 355,7787
2,18 257,2669 41,28879 356,3887
2,2 258,0923 40,13307 357,2751
2,22 258,9247 39,29173 358,0107
2,24 259,9414 38,53671 358,8268
2,26 261,1581 38,5259 359,7
2,28 262,7639 39,10902 0,8717386
2,3 263,9655 39,44653 1,74918
2,32 265,2605 39,49609 2,668176
2,34 266,8971 39,56932 3,819459
2,36 268,1169 39,809 4,758561
2,38 269,2427 40,12393 5,642814
2,4 270,4795 40,49704 6,562535
2,42 268,9351 40,19772 5,940392
2,44 270,6866 40,34759 7,043434
2,46 271,9477 40,29917 7,83438
2,48 273,0817 39,81039 8,582387
2,5 274,1723 38,32269 9,223465
2,52 274,7228 36,39967 9,509389
2,54 275,0516 33,78704 9,646153
2,56 275,0644 29,37429 9,488023
2,58 274,9445 26,30474 9,258495
2,6 274,951 23,45264 9,011399
2,62 274,8586 20,11484 9,20065
2,64 274,1378 17,32979 9,756878
2,66 273,1797 14,77318 10,04674
2,68 272,1814 12,54344 9,869078
2,7 271,1554 9,431726 9,077235
2,72 270,636 6,263191 8,288538
2,74 269,9631 1,729562 7,602737
2,76 269,094 356,8919 7,217594
2,78 267,9881 352,1832 6,838192
2,8 267,3368 349,5884 6,474583
2,82 266,7368 347,4204 6,056249
2,84 266,0492 344,4411 5,663998
2,86 265,751 341,5942 5,494133
