frame,value
0,0.350376
1,0.347559
2,0.350764
3,0.351566
4,0.348798
5,0.341906
6,0.335191
7,0.327586
8,0.312668
9,0.306084
10,0.290431
11,0.281851
12,0.273336
13,0.271290
14,0.267178
15,0.265452
16,0.265625
17,0.259002
18,0.254833
19,0.253613
20,0.243920
21,0.242231
22,0.236727
23,0.240741
24,0.230539
25,0.233195
26,0.229355
27,0.231551
28,0.232637
29,0.233838
30,0.255934
31,0.246495
32,0.243415
33,0.239923
34,0.242908
35,0.237794
36,0.232601
37,0.237916
38,0.237852
39,0.232738
40,0.233417
41,0.235571
42,0.235817
43,0.241482
44,0.245166
45,0.249761
46,0.265485
47,0.266714
48,0.262577
49,0.277063
50,0.285302
51,0.284105
52,0.295844
53,0.310947
54,0.315564
55,0.339171
56,0.346928
57,0.357785
58,0.387985
59,0.418998
60,0.438572
61,0.458533
62,0.466779
63,0.455477
64,0.456032
65,0.449238
66,0.455171
67,0.452480
68,0.448455
69,0.443183
70,0.438316
71,0.429970
72,0.427519
73,0.428253
74,0.427304
75,0.423104
76,0.423362
77,0.420140
78,0.421422
79,0.412930
80,0.403027
81,0.399329
82,0.391477
83,0.381666
84,0.369440
85,0.366010
86,0.348020
87,0.347465
88,0.346958
89,0.324930
90,0.332216
91,0.318613
92,0.285995
93,0.277794
94,0.271975
95,0.247407
96,0.233306
97,0.217220
98,0.202287
99,0.191987
100,0.180885
101,0.170767
102,0.166035
103,0.158808
104,0.157579
105,0.153899
106,0.154878
107,0.155066
108,0.152806
109,0.150644
110,0.148929
111,0.150453
112,0.154363
113,0.152574
114,0.153833
115,0.153960
116,0.155858
117,0.159490
118,0.157227
119,0.160417
120,0.172240
121,0.165651
122,0.163368
123,0.165785
124,0.162154
125,0.163992
126,0.160092
127,0.160816
128,0.165241
129,0.163996
130,0.170290
131,0.181774
132,0.176102
133,0.194440
134,0.195079
135,0.204674
136,0.212954
137,0.215847
138,0.215225
139,0.212752
140,0.206509
141,0.212967
142,0.201560
143,0.202547
144,0.198223
145,0.197433
146,0.193912
147,0.197010
148,0.193478
149,0.200034
150,0.214914
151,0.210479
152,0.202576
153,0.210106
154,0.200325
155,0.231355
156,0.224643
157,0.230756
158,0.223848
159,0.223849
160,0.221088
161,0.220944
162,0.232196
163,0.221489
164,0.226854
165,0.224540
166,0.224751
167,0.222662
168,0.214839
169,0.219832
170,0.222453
171,0.219503
172,0.216767
173,0.215184
174,0.215338
175,0.219299
176,0.221211
177,0.222235
178,0.221192
179,0.225525
180,0.239733
181,0.237382
182,0.242824
183,0.244024
184,0.244539
185,0.370866
186,0.370628
187,0.392604
188,0.403934
189,0.407722
190,0.410277
191,0.403499
192,0.408436
193,0.424118
194,0.419649
195,0.419300
196,0.430239
197,0.434750
198,0.429798
199,0.425656
200,0.424193
201,0.422434
202,0.420774
203,0.422234
204,0.422026
205,0.419503
206,0.421279
207,0.420847
208,0.415059
209,0.416516
210,0.418820
211,0.406287
212,0.410878
213,0.413917
214,0.423197
215,0.330452
216,0.329536
217,0.320107
218,0.292834
219,0.271638
220,0.260715
221,0.252719
222,0.244927
223,0.232123
224,0.220450
225,0.212833
226,0.212696
227,0.215838
228,0.210719
229,0.207338
230,0.196559
231,0.203746
232,0.206149
233,0.201185
234,0.214132
235,0.217698
236,0.236492
237,0.234043
238,0.243450
239,0.246684
240,0.285882
241,0.274657
242,0.275218
243,0.269834
244,0.256243
245,0.275766
246,0.288038
247,0.282719
248,0.292997
249,0.275159
250,0.275225
251,0.291141
252,0.283287
253,0.287970
254,0.293114
255,0.292051
256,0.319968
257,0.314874
258,0.312527
259,0.320714
260,0.316399
261,0.334150
262,0.318426
263,0.320518
264,0.310266
265,0.336804
266,0.317878
267,0.313752
268,0.304798
269,0.316144
270,0.357305
271,0.364463
272,0.379800
273,0.363863
274,0.352114
275,0.329760
276,0.371126
277,0.288936
278,0.310763
279,0.286897
280,0.301813
281,0.307697
282,0.295130
283,0.289936
284,0.217279
285,0.181393
286,0.166032
287,0.159108
288,0.175211
289,0.169620
290,0.182096
291,0.191082
292,0.213727
293,0.247575
294,0.243909
295,0.229762
296,0.249753
297,0.235218
298,0.252927
299,0.242912
300,0.305031
301,0.306373
302,0.285799
303,0.272588
304,0.282252
305,0.362634
306,0.359126
307,0.359259
308,0.361942
309,0.375538
310,0.375852
311,0.368240
312,0.374102
313,0.368725
314,0.356386
315,0.381494
316,0.359450
317,0.370059
318,0.383575
319,0.380390
320,0.392305
321,0.375781
322,0.374267
323,0.381556
324,0.375385
325,0.382076
326,0.378774
327,0.378094
328,0.388695
329,0.385459
330,0.437053
331,0.419841
332,0.429515
333,0.416765
334,0.413661
335,0.441509
336,0.468979
337,0.474348
338,0.472911
339,0.467043
340,0.468855
341,0.474738
342,0.474321
343,0.474753
344,0.467073
345,0.461987
346,0.459600
347,0.462740
348,0.453341
349,0.435430
350,0.417111
351,0.408111
352,0.397892
353,0.406170
354,0.408689
355,0.403695
356,0.397289
357,0.390505
358,0.392943
359,0.392608
360,0.414442
361,0.397832
362,0.380054
363,0.380458
364,0.359672
365,0.382821
366,0.402586
367,0.385076
368,0.390489
369,0.374608
370,0.398978
371,0.392279
372,0.390539
373,0.388729
374,0.391953
375,0.394627
376,0.399988
377,0.401526
378,0.392536
379,0.388711
380,0.402999
381,0.389007
382,0.390634
383,0.400990
384,0.376478
385,0.376009
386,0.376902
387,0.379726
388,0.365996
389,0.344902
390,0.330955
391,0.309655
392,0.320462
393,0.320160
394,0.312442
395,0.268588
396,0.238283
397,0.267761
398,0.258213
399,0.249399
400,0.252261
401,0.260953
402,0.265683
403,0.271251
404,0.272424
405,0.270868
406,0.270737
407,0.260053
408,0.262507
409,0.263359
410,0.265534
411,0.266331
412,0.268080
413,0.271889
414,0.273936
415,0.278233
416,0.277627
417,0.273521
418,0.274374
419,0.280659
420,0.302332
421,0.291534
422,0.294058
423,0.287149
424,0.281417
425,0.308715
426,0.293036
427,0.297483
428,0.296659
429,0.292438
430,0.293241
431,0.291215
432,0.293033
433,0.289490
434,0.292148
435,0.293295
436,0.290726
437,0.291738
438,0.296078
439,0.297274
440,0.294839
441,0.288468
442,0.286299
443,0.291073
444,0.289076
445,0.285202
446,0.280866
447,0.278856
448,0.274959
449,0.273169
450,0.287720
451,0.283706
452,0.282400
453,0.282459
454,0.284734
455,0.281700
456,0.280132
457,0.276490
458,0.273707
459,0.278281
460,0.277096
461,0.277277
462,0.271671
463,0.276237
464,0.274968
465,0.278124
466,0.275524
467,0.275723
468,0.280709
469,0.278993
470,0.283808
471,0.282670
472,0.281886
473,0.279458
474,0.276066
475,0.272095
476,0.272977
477,0.279310
478,0.276630
479,0.268671
480,0.280922
481,0.269599
482,0.250678
483,0.233166
484,0.216922
485,0.266762
486,0.263212
487,0.264257
488,0.265782
489,0.264547
490,0.259872
491,0.263904
492,0.259549
493,0.264303
494,0.273594
495,0.269642
496,0.278967
497,0.276803
498,0.274106
499,0.282349
500,0.280723
501,0.280895
502,0.276415
503,0.278327
504,0.279460
505,0.286568
506,0.288433
507,0.284777
508,0.286714
509,0.285943
510,0.312284
511,0.302205
512,0.289667
513,0.280822
514,0.279342
515,0.316189
516,0.320433
517,0.321977
518,0.316138
519,0.311631
520,0.309925
521,0.308457
522,0.309103
523,0.308855
524,0.305767
525,0.300833
526,0.299409
527,0.307321
528,0.312393
529,0.298982
530,0.298249
531,0.307526
532,0.306227
533,0.303185
534,0.299441
535,0.299831
536,0.295881
537,0.298611
538,0.303478
539,0.308789
540,0.313755
541,0.309589
542,0.306647
543,0.313295
544,0.325569
545,0.264823
546,0.254011
547,0.254298
548,0.252391
549,0.254509
550,0.255202
551,0.255156
552,0.254205
553,0.248652
554,0.245015
555,0.247172
556,0.247929
557,0.251613
558,0.249378
559,0.249344
560,0.246708
561,0.249450
562,0.249770
563,0.243408
564,0.238285
565,0.242999
566,0.249775
567,0.244750
568,0.244586
569,0.240855
570,0.251843
571,0.245774
572,0.247985
573,0.247323
574,0.245707
575,0.241388
576,0.239444
577,0.238416
578,0.239985
579,0.242478
580,0.240127
581,0.239785
582,0.237961
583,0.247481
584,0.241781
585,0.243265
586,0.245037
587,0.247872
588,0.249415
589,0.251612
590,0.251706
591,0.249484
592,0.253918
593,0.254725
594,0.245148
595,0.244226
596,0.246973
597,0.237490
598,0.233546
599,0.234141
600,0.239085
601,0.240453
602,0.235884
603,0.240963
604,0.241128
605,0.236077
606,0.245630
607,0.241362
608,0.239396
609,0.239475
610,0.242518
611,0.246026
612,0.243709
613,0.246221
614,0.242102
615,0.243552
616,0.243667
617,0.246809
618,0.248981
619,0.253316
620,0.253154
621,0.249499
622,0.249837
623,0.251868
624,0.255313
625,0.251460
626,0.255150
627,0.257664
628,0.258608
629,0.259410
630,0.265406
631,0.255612
632,0.259200
633,0.263016
634,0.267426
635,0.264108
636,0.261396
637,0.259289
638,0.253501
639,0.258618
640,0.259188
641,0.255913
642,0.255597
643,0.273782
644,0.273381
645,0.281498
646,0.288828
647,0.285576
648,0.283595
649,0.292078
650,0.294388
651,0.300246
652,0.297698
653,0.290635
654,0.289187
655,0.285331
656,0.284032
657,0.279042
658,0.282049
659,0.272866
660,0.283444
661,0.298670
662,0.284966
663,0.278655
664,0.271410
665,0.260385
666,0.262268
667,0.261087
668,0.257693
669,0.248423
670,0.244373
671,0.242764
672,0.239691
673,0.236997
674,0.236105
675,0.230473
676,0.231769
677,0.238114
678,0.234410
679,0.230403
680,0.219541
681,0.212988
682,0.200056
683,0.189799
684,0.184550
685,0.178054
686,0.172087
687,0.169772
688,0.167030
689,0.163555
690,0.168141
691,0.158724
692,0.148179
693,0.148366
694,0.152078
695,0.244550
696,0.244341
697,0.244063
698,0.240031
699,0.239831
700,0.242171
701,0.238666
702,0.236825
703,0.231608
704,0.235812
705,0.237094
706,0.240042
707,0.243277
708,0.244400
709,0.240679
710,0.234507
711,0.237864
712,0.238962
713,0.238209
714,0.234156
715,0.235737
716,0.238595
717,0.240488
718,0.243525
719,0.242472
720,0.251179
721,0.250349
722,0.250574
723,0.248871
724,0.252563
725,0.247843
726,0.247405
727,0.242998
728,0.244649
729,0.244536
730,0.242110
731,0.241499
732,0.240851
733,0.239839
734,0.241162
735,0.243843
736,0.239213
737,0.236260
738,0.240693
739,0.238502
740,0.238570
741,0.241964
742,0.237575
743,0.236555
744,0.237074
745,0.235166
746,0.235038
747,0.236290
