Time  Yaw  Pitch  Roll
0 0 0 0
0,02 0 0 0
0,04 2,871416 2,697 2,55266
0,06 2,871416 2,697 2,55266
0,08 2,871416 2,697 2,55266
0,09999999 2,871416 2,697 2,55266
0,12 2,871416 2,697 2,55266
0,14 3,140167 2,892804 2,49194
0,16 3,23605 2,979271 2,472841
0,18 3,37836 3,098509 2,447455
0,2 3,456231 3,159152 2,425439
0,22 3,464717 3,179381 2,394804
0,24 3,422897 3,230715 2,363736
0,26 3,362226 3,333903 2,340384
0,28 3,274726 3,451688 2,294591
0,3 3,210498 3,525116 2,249042
0,32 3,151865 3,620147 2,218309
0,34 3,142454 3,707057 2,210169
0,36 3,166949 3,771364 2,209212
0,38 3,23254 3,790542 2,182904
0,4 3,342682 3,763906 2,133797
0,42 3,589514 3,71186 2,029902
0,44 3,594281 3,714272 2,024055
0,46 3,618209 3,710951 2,014311
0,48 3,670334 3,707886 1,990043
0,5 3,715909 3,710765 1,976465
0,52 3,752955 3,696976 1,956557
0,54 3,793745 3,691012 1,929973
0,56 3,838674 3,721972 1,886526
0,58 3,858188 3,739926 1,860702
0,6 3,863587 3,687354 1,820112
0,62 3,852387 3,547328 1,74358
0,64 3,855759 3,396348 1,673814
0,66 3,884002 3,243727 1,615259
0,68 3,93592 3,08968 1,549451
0,7 4,004155 2,90447 1,473659
0,72 4,040356 2,804578 1,442795
0,74 4,062988 2,733138 1,43171
0,76 4,059957 2,728979 1,439822
0,78 4,051453 2,730659 1,438537
0,8 4,037891 2,723377 1,422016
0,82 4,012349 2,713277 1,409562
0,84 4,002173 2,718139 1,414395
0,86 4,000825 2,777967 1,46144
0,88 4,017293 2,822819 1,505511
0,9 4,041436 2,857128 1,545425
0,92 4,088174 2,891029 1,568455
0,94 4,167448 2,903891 1,587744
0,96 4,249286 2,915427 1,596791
0,98 4,330143 2,924518 1,596053
1 4,442034 2,902391 1,584322
1,02 4,508347 2,874432 1,57197
1,04 4,56444 2,847678 1,564289
1,06 4,632844 2,822826 1,576325
1,08 4,665319 2,814597 1,588705
1,1 4,70151 2,78548 1,599681
1,12 4,708525 2,780528 1,608305
1,14 4,701591 2,778349 1,622034
1,16 4,682434 2,78484 1,654078
1,18 4,671315 2,805296 1,681302
1,2 4,665473 2,835999 1,696397
1,22 4,655084 2,861508 1,703382
1,24 4,662413 2,884608 1,687126
1,26 4,682703 2,889351 1,681596
1,28 4,733679 2,901284 1,683373
1,3 4,790745 2,913329 1,686985
1,32 4,85057 2,913771 1,692205
1,34 4,918311 2,908467 1,686099
1,36 4,958207 2,915828 1,651111
1,38 4,984711 2,951508 1,621085
1,4 4,999259 2,994752 1,61588
1,42 5,004541 3,034545 1,629898
1,44 5,023216 3,0633 1,675723
1,46 5,057172 3,077899 1,715117
1,48 5,101873 3,086135 1,74846
1,5 5,177423 3,081033 1,777634
1,52 5,237661 3,048251 1,779524
1,54 5,284422 2,99911 1,770772
1,56 5,340049 2,901422 1,749124
1,58 5,367354 2,847882 1,741194
1,6 5,401168 2,80129 1,729559
1,62 5,424629 2,785537 1,740851
1,64 5,459548 2,774228 1,773131
1,66 5,493829 2,772118 1,801582
1,68 5,542857 2,762713 1,829608
1,7 5,617827 2,718215 1,865371
1,72 5,66758 2,688933 1,881968
1,74 5,702978 2,681152 1,888928
1,76 5,741782 2,697559 1,878934
1,78 5,759043 2,691787 1,865749
1,8 5,76377 2,666125 1,861049
1,82 5,733844 2,629788 1,865452
1,84 5,680504 2,62266 1,870323
1,86 5,606977 2,60551 1,86241
1,88 5,512513 2,609411 1,828357
1,9 5,453221 2,639766 1,801537
1,92 5,422084 2,678921 1,787744
1,94 5,416866 2,696336 1,789095
1,96 5,445218 2,688306 1,817682
1,98 5,49634 2,669645 1,852338
2 5,553528 2,649167 1,883686
2,02 5,616504 2,623978 1,904223
2,04 5,679406 2,598982 1,924101
2,06 5,709763 2,586091 1,936196
2,08 5,729631 2,576247 1,949416
2,1 5,742589 2,577058 1,979286
2,12 5,739847 2,581243 1,988966
