frame,value
0,0.959083
1,0.962069
2,0.964258
3,0.967175
4,0.972088
5,0.977135
6,0.979510
7,0.976573
8,0.973641
9,0.975364
10,0.973952
11,0.973610
12,0.973649
13,0.973043
14,0.971085
15,0.971077
16,0.972813
17,0.968514
18,0.968923
19,0.969319
20,0.966484
21,0.967089
22,0.967986
23,0.967512
24,0.967420
25,0.967331
26,0.967028
27,0.967666
28,0.967541
29,0.966752
30,0.972015
31,0.970963
32,0.969255
33,0.968996
34,0.968760
35,0.967651
36,0.967679
37,0.969456
38,0.969527
39,0.969695
40,0.969037
41,0.969960
42,0.969948
43,0.970153
44,0.969268
45,0.968446
46,0.971969
47,0.971148
48,0.970787
49,0.969492
50,0.965690
51,0.964005
52,0.962506
53,0.962528
54,0.960477
55,0.961723
56,0.958647
57,0.956712
58,0.956658
59,0.952930
60,0.957163
61,0.954050
62,0.951678
63,0.949906
64,0.945249
65,0.877099
66,0.871514
67,0.862982
68,0.856069
69,0.850302
70,0.845288
71,0.842260
72,0.842322
73,0.845466
74,0.847104
75,0.850395
76,0.855969
77,0.859400
78,0.860863
79,0.862363
80,0.866452
81,0.867063
82,0.870572
83,0.875200
84,0.875860
85,0.879226
86,0.879498
87,0.877789
88,0.876287
89,0.876851
90,0.882026
91,0.879066
92,0.876776
93,0.876688
94,0.876871
95,0.720529
96,0.718328
97,0.716962
98,0.714175
99,0.712523
100,0.709831
101,0.708029
102,0.706411
103,0.705034
104,0.703348
105,0.702541
106,0.701216
107,0.698924
108,0.696434
109,0.695767
110,0.695381
111,0.695069
112,0.697249
113,0.702950
114,0.709055
115,0.724220
116,0.739645
117,0.743150
118,0.750254
119,0.748973
120,0.748727
121,0.744631
122,0.737925
123,0.734781
124,0.731735
125,0.728605
126,0.728107
127,0.724936
128,0.720432
129,0.719344
130,0.710495
131,0.706572
132,0.704612
133,0.710480
134,0.724893
135,0.730225
136,0.753982
137,0.782417
138,0.798887
139,0.824339
140,0.857125
141,0.871420
142,0.894794
143,0.909028
144,0.913576
145,0.914358
146,0.907113
147,0.899807
148,0.887131
149,0.871723
150,0.873051
