Time  Yaw  Pitch  Roll
0 0 0 0
0,02 0 0 0
0,04 353,6449 4,884278 4,5912
0,06 353,6449 4,884278 4,5912
0,08 353,6449 4,884278 4,5912
0,09999999 353,6449 4,884278 4,5912
0,12 353,6449 4,884278 4,5912
0,14 354,3913 6,025511 4,603315
0,16 354,3656 6,321603 4,620359
0,18 354,2338 7,241426 4,740551
0,2 353,907 7,673558 4,762856
0,22 353,7208 7,722836 4,661948
0,24 353,4282 7,728429 4,580729
0,26 353,3138 7,708018 4,538005
0,28 353,392 7,597915 4,593415
0,3 353,269 7,532179 4,676314
0,32 352,944 7,329041 4,856755
0,34 352,8132 7,297711 4,962992
0,36 352,4693 7,339848 5,251047
0,38 352,2162 7,413359 5,464431
0,4 352,023 7,518775 5,667774
0,42 352,0264 7,532194 5,733519
0,44 352,0476 7,663203 5,720924
0,46 351,9571 7,873847 5,772621
0,48 351,9426 7,997289 5,729203
0,5 351,7616 8,524988 5,830983
0,52 351,7478 9,297628 5,970311
0,54 351,5715 10,17539 6,08251
0,56 351,4261 11,14841 6,130275
0,58 351,4261 11,14841 6,130275
0,6 351,1524 12,13068 6,143942
0,62 350,8278 13,21753 6,202819
0,64 350,4892 14,41179 6,357336
0,66 350,009 15,61409 6,191261
0,68 349,7201 16,94715 5,838964
0,7 349,4103 18,11623 5,491412
0,72 349,4103 18,11623 5,491412
0,74 349,0732 19,13431 5,133198
0,76 348,9051 20,05637 4,865783
0,78 348,7804 20,89124 4,698529
0,8 348,7703 21,69604 4,521217
0,82 348,9774 22,44007 4,468115
0,84 349,2549 23,03928 4,466577
0,86 349,5149 23,58137 4,48116
0,88 349,8147 23,98765 4,537691
0,9 350,0991 24,38344 4,669204
0,92 350,0991 24,38344 4,669204
0,94 350,3901 24,64038 4,826574
0,96 350,5736 24,85019 4,905739
0,98 350,7168 24,93298 4,948183
1 350,685 24,72629 5,027431
1,02 350,6721 24,783 5,071561
1,04 350,6575 24,81617 5,088004
1,06 350,6739 24,92353 5,12745
1,08 350,6395 24,95957 5,130167
1,1 350,6528 24,97722 5,213521
1,12 350,6528 24,97722 5,213521
1,14 350,627 24,95197 5,355181
1,16 350,685 24,95173 5,485857
1,18 350,8492 24,88741 5,729311
1,2 350,9208 24,80281 5,814255
1,22 351,3048 24,66083 6,134043
1,24 351,5181 24,46521 6,422316
1,26 351,672 24,33428 6,568642
1,28 351,8894 24,1646 6,794839
1,3 352,1122 23,99833 6,983759
1,32 352,1122 23,99833 6,983759
1,34 352,3007 23,72226 7,158388
1,36 352,4214 23,39628 7,337158
1,38 352,4667 23,0166 7,435236
1,4 352,4897 22,69514 7,458711
1,42 352,5303 22,37392 7,496845
1,44 352,578 22,13893 7,631682
1,46 352,4617 21,85807 7,608477
1,48 352,3016 21,64286 7,627704
1,5 352,1047 21,37372 7,559259
1,52 352,1047 21,37372 7,559259
1,54 352,011 21,07858 7,593307
1,56 351,8895 20,8008 7,518041
1,58 351,7718 20,51618 7,512797
1,6 351,6909 20,45968 7,512896
1,62 351,7565 20,35407 7,537052
1,64 351,7834 20,47956 7,551707
1,66 351,7922 20,45418 7,577281
1,68 351,7944 20,4693 7,544353
1,7 351,7821 20,44759 7,528785
1,72 351,7816 20,43657 7,530292
1,74 351,7468 20,34829 7,518233
1,76 351,6584 20,23394 7,466048
1,78 351,6202 20,22254 7,453775
1,8 351,645 20,20917 7,438052
1,82 351,6121 20,14946 7,326604
1,84 351,6478 19,98899 7,201447
1,86 351,6073 19,7951 7,087002
1,88 351,68 19,55926 7,015152
1,9 351,7235 19,43947 6,982216
1,92 351,7179 19,22784 6,952709
1,94 351,6873 18,9526 6,88294
1,96 351,596 18,69564 6,819762
1,98 351,3999 18,47003 6,713388
2 351,3397 18,35296 6,680102
2,02 351,0125 18,04634 6,59516
2,04 350,6317 17,68098 6,547037
2,06 350,1747 17,38539 6,450899
2,08 349,8156 17,18086 6,325485
2,1 349,3982 16,90783 6,120181
2,12 349,2526 16,75409 5,931132
