frame,value
0,0.381599
1,0.376828
2,0.370878
3,0.371704
4,0.369122
5,0.206898
6,0.201815
7,0.197466
8,0.194670
9,0.198371
10,0.190879
11,0.187646
12,0.186590
13,0.184294
14,0.181721
15,0.180797
16,0.181676
17,0.183212
18,0.184892
19,0.188253
20,0.189077
21,0.186905
22,0.193247
23,0.200114
24,0.201292
25,0.213703
26,0.243717
27,0.252473
28,0.273521
29,0.287160
30,0.304624
31,0.306391
32,0.303967
33,0.305438
34,0.307582
35,0.208588
36,0.207825
37,0.211595
38,0.211713
39,0.211434
40,0.209087
41,0.210520
42,0.211844
43,0.218449
44,0.222286
45,0.222132
46,0.221764
47,0.221495
48,0.221503
49,0.224070
50,0.222906
51,0.223168
52,0.223214
53,0.218212
54,0.217362
55,0.218027
56,0.219905
57,0.218659
58,0.219483
59,0.217335
60,0.233166
61,0.224236
62,0.218143
63,0.217440
64,0.225144
65,0.238055
66,0.236565
67,0.232734
68,0.231740
69,0.227186
70,0.225965
71,0.223654
72,0.229477
73,0.230221
74,0.226010
75,0.227067
76,0.229113
77,0.231498
78,0.231477
79,0.229373
80,0.227855
81,0.230276
82,0.228721
83,0.226247
84,0.226807
85,0.230985
86,0.226324
87,0.228207
88,0.234386
89,0.234325
90,0.248592
91,0.246031
92,0.243373
93,0.243392
94,0.243990
95,0.297504
96,0.301630
97,0.307079
98,0.315540
99,0.311102
100,0.306657
101,0.300727
102,0.302327
103,0.293361
104,0.291094
105,0.293316
106,0.299383
107,0.299408
108,0.298571
109,0.300683
110,0.296037
111,0.295215
112,0.291900
113,0.291398
114,0.299080
115,0.298454
116,0.294974
117,0.294962
118,0.299366
119,0.313580
120,0.317211
121,0.319225
122,0.330597
123,0.343745
124,0.347063
125,0.427532
126,0.433766
127,0.438240
128,0.448226
129,0.450133
130,0.445162
131,0.447091
132,0.457418
133,0.458998
134,0.452626
135,0.448991
136,0.445846
137,0.420112
138,0.412740
139,0.408512
140,0.406775
141,0.400338
142,0.388389
143,0.385087
144,0.380044
145,0.383475
146,0.377455
147,0.372835
148,0.368852
149,0.378248
150,0.396713
151,0.381416
152,0.370415
153,0.372842
154,0.356548
155,0.466610
156,0.473672
157,0.494732
158,0.503437
159,0.494080
160,0.497653
161,0.505710
162,0.522965
163,0.510602
164,0.501867
165,0.505528
166,0.526832
167,0.523387
168,0.514787
169,0.512407
170,0.522413
171,0.506775
172,0.500508
173,0.507547
174,0.522847
175,0.526266
176,0.520623
177,0.528299
178,0.538365
179,0.548723
180,0.564495
181,0.544721
182,0.552654
183,0.572039
184,0.568525
185,0.423140
186,0.419119
187,0.435086
188,0.410101
189,0.405899
190,0.421368
191,0.424176
192,0.424921
193,0.430236
194,0.425739
195,0.442344
196,0.448935
197,0.450190
198,0.442892
199,0.446836
200,0.460146
201,0.469613
202,0.449192
203,0.448603
204,0.453205
205,0.445915
206,0.429059
207,0.440136
208,0.456961
209,0.463900
210,0.458883
211,0.453061
212,0.450825
213,0.458530
214,0.444999
215,0.516796
216,0.539001
217,0.564849
218,0.555244
219,0.532527
220,0.503015
221,0.502305
222,0.469437
223,0.470441
224,0.486293
225,0.473331
226,0.475028
227,0.457296
228,0.451796
229,0.466530
230,0.474856
231,0.469419
232,0.458024
233,0.497352
234,0.525590
235,0.535226
236,0.511144
237,0.509999
238,0.528397
239,0.516047
240,0.551967
241,0.564943
242,0.561906
243,0.571145
244,0.545371
245,0.602651
246,0.604501
247,0.606385
248,0.599968
249,0.584444
250,0.583146
251,0.594373
252,0.589175
253,0.568663
254,0.561486
255,0.568577
256,0.558866
257,0.551655
258,0.556340
259,0.557980
260,0.558407
261,0.545405
262,0.550673
263,0.554667
264,0.561106
265,0.553243
266,0.546693
267,0.546762
268,0.554984
269,0.563953
270,0.573808
271,0.571631
272,0.576581
273,0.585748
274,0.580796
275,0.580532
276,0.587219
277,0.589733
278,0.581784
279,0.585307
280,0.589092
281,0.579808
282,0.571397
283,0.565312
284,0.571617
285,0.578847
286,0.581368
287,0.564517
288,0.582961
289,0.588110
290,0.590376
291,0.587024
292,0.588900
293,0.592306
294,0.588908
295,0.578002
296,0.584908
297,0.592061
298,0.587894
299,0.584092
300,0.597482
301,0.598717
302,0.607639
303,0.603636
304,0.593944
305,0.593031
306,0.594413
307,0.593864
308,0.587200
309,0.583908
310,0.588625
311,0.588856
312,0.583590
313,0.586605
314,0.592886
315,0.596573
316,0.589302
317,0.582390
318,0.581014
319,0.591217
320,0.593680
321,0.590031
322,0.591949
323,0.598818
324,0.599717
325,0.599905
326,0.598138
327,0.598269
328,0.606344
329,0.597767
330,0.623743
331,0.626475
332,0.628670
333,0.613915
334,0.606376
335,0.482136
336,0.486376
337,0.480330
338,0.471594
339,0.478256
340,0.482379
341,0.477278
342,0.473303
343,0.471804
344,0.469293
345,0.482945
346,0.461880
347,0.471502
348,0.473786
349,0.475131
350,0.464972
351,0.460832
352,0.462436
353,0.469845
354,0.464330
355,0.452891
356,0.450922
357,0.454902
358,0.457227
359,0.450381
360,0.477371
361,0.474560
362,0.474047
363,0.463190
364,0.469516
365,0.457509
366,0.470976
367,0.451631
368,0.462648
369,0.458603
370,0.479142
371,0.462062
372,0.448756
373,0.467896
374,0.482887
375,0.469348
376,0.467075
377,0.453205
378,0.456561
379,0.429008
380,0.448553
381,0.444799
382,0.444274
383,0.473662
384,0.454683
385,0.458604
386,0.464405
387,0.430495
388,0.437025
389,0.435644
390,0.476294
391,0.456658
392,0.464176
393,0.444459
394,0.445849
395,0.464318
396,0.444286
397,0.444499
398,0.440867
399,0.438980
400,0.417802
401,0.433674
402,0.434650
403,0.435136
404,0.440487
405,0.434276
406,0.431180
407,0.435929
408,0.444750
409,0.439757
410,0.430102
411,0.429576
412,0.438620
413,0.442584
414,0.435296
415,0.436393
416,0.441482
417,0.435623
418,0.420098
419,0.403022
420,0.427448
421,0.428948
422,0.393662
423,0.372777
424,0.373274
425,0.585027
426,0.596561
427,0.592948
428,0.587352
429,0.600740
430,0.606044
431,0.596051
432,0.599197
433,0.597856
434,0.597722
435,0.587308
436,0.587746
437,0.598222
438,0.597565
439,0.598228
440,0.593565
441,0.591535
442,0.589907
443,0.588571
444,0.576514
445,0.578919
446,0.584926
447,0.593336
448,0.579960
449,0.584840
450,0.612256
451,0.601150
452,0.584178
453,0.583089
454,0.601867
455,0.604833
456,0.598167
457,0.590677
458,0.578743
459,0.581636
460,0.577389
461,0.571883
462,0.573651
463,0.591651
464,0.588059
465,0.577958
466,0.582085
467,0.583014
468,0.583749
469,0.574194
470,0.577082
471,0.582233
472,0.588782
473,0.567367
474,0.554240
475,0.553530
476,0.548174
477,0.544365
478,0.539263
479,0.536456
480,0.589353
481,0.570980
482,0.564843
483,0.565552
484,0.573978
485,0.570615
486,0.564386
487,0.582259
488,0.610494
489,0.608343
490,0.601541
491,0.588986
492,0.594658
493,0.615135
494,0.607772
495,0.604902
496,0.611951
497,0.622224
498,0.610322
499,0.604392
500,0.600377
501,0.607161
502,0.605050
503,0.583117
504,0.591333
505,0.592678
506,0.584353
507,0.579713
508,0.565710
509,0.562056
510,0.586146
511,0.559801
