Time  Yaw  Pitch  Roll
0 0 0 0
0,02 0 0 0
0,04 164,1765 7,87437 3,245845
0,06 164,1765 7,87437 3,245845
0,08 164,1765 7,87437 3,245845
0,09999999 164,1765 7,87437 3,245845
0,12 164,1765 7,87437 3,245845
0,14 162,6974 8,046595 3,127205
0,16 162,6974 8,046595 3,127205
0,18 160,5857 8,543697 3,021651
0,2 160,5623 8,54045 3,04178
0,22 160,497 8,440373 3,156873
0,24 160,822 8,379237 3,111276
0,26 161,0697 8,252407 3,195254
0,28 161,5658 8,079587 3,222586
0,3 161,9632 7,870288 3,268609
0,32 162,1624 7,810779 3,224586
0,34 162,5041 7,627551 3,05479
0,36 162,8577 7,452372 2,869102
0,38 162,9847 7,242811 2,715016
0,4 163,0952 7,065316 2,651099
0,42 163,0772 6,951374 2,579033
0,44 163,0201 6,775837 2,464745
0,46 162,8733 6,688807 2,354674
0,48 162,7081 6,492475 2,165319
0,5 162,6887 6,438304 2,065476
0,52 162,6079 6,387291 2,141112
0,54 162,6468 6,32248 2,052168
0,56 162,6635 6,269053 2,109213
0,58 162,6225 6,22085 2,199028
0,6 162,5537 6,302242 2,217946
0,62 162,4413 6,276577 2,229351
0,64 162,201 5,995158 2,25193
0,66 162,0344 5,832955 2,217522
0,68 161,6376 5,547405 1,687355
0,7 161,4968 5,283093 1,57097
0,72 161,524 5,148524 1,405948
0,74 161,4956 5,034018 1,18139
0,76 161,4956 5,034018 1,18139
0,78 161,6438 4,870358 1,044643
0,8 161,7593 4,718013 1,06818
0,82 162,1092 4,386818 0,968488
0,84 162,3953 4,033456 0,9673603
0,86 162,7134 3,77921 0,9987541
0,88 162,8057 3,777468 1,043488
0,9 162,8057 3,777468 1,043488
0,92 162,6743 3,66931 1,202082
0,94 162,7433 3,609804 1,190555
0,96 162,6569 3,435389 1,115448
0,98 162,5544 3,290564 1,064506
1 162,1324 3,104754 0,9652793
1,02 161,8014 2,964619 0,7222161
1,04 161,5204 2,894377 0,6962427
1,06 161,2531 2,654068 0,7781463
1,08 160,8963 2,537653 1,04169
1,1 160,8963 2,537653 1,04169
1,12 160,7115 2,326247 1,12966
1,14 160,5039 2,228304 1,227375
1,16 160,3581 2,243237 1,192538
1,18 160,3258 2,088157 1,181061
1,2 160,3976 1,97699 1,340439
1,22 160,3809 1,804194 1,389078
1,24 160,4758 1,412779 1,683102
1,26 160,6176 1,218951 1,877145
1,28 160,8046 0,9602613 2,263986
1,3 160,8046 0,9602613 2,263986
1,32 160,9805 0,6218113 2,422286
1,34 161,0641 0,3843095 2,598379
1,36 161,1236 0,124371 2,541697
1,38 161,1474 359,8185 2,478315
1,4 161,0425 359,541 2,64357
1,42 160,8808 359,2726 2,651266
1,44 160,614 359,0831 2,665329
1,46 160,4462 358,9813 2,700008
1,48 160,2559 358,8789 2,770838
1,5 160,2559 358,8789 2,770838
1,52 160,1935 358,9773 2,694602
1,54 160,0114 359,0243 2,635872
1,56 160,0488 359,0304 2,385579
1,58 160,0857 359,0573 2,400014
1,6 160,2289 359,0523 2,31311
1,62 160,5236 359,176 2,130426
1,64 160,7516 359,1501 2,228309
1,66 161,0081 359,1639 2,276865
1,68 161,3349 359,2964 2,266594
1,7 161,5166 359,4258 2,162019
1,72 161,5166 359,4258 2,162019
1,74 161,598 359,421 1,982532
1,76 161,7252 359,5723 1,932549
1,78 161,7345 359,5794 1,929152
1,8 161,7538 359,5879 1,908524
1,82 161,7807 359,5412 1,879793
1,84 161,857 359,5882 1,854736
1,86 161,8979 359,6009 1,813457
1,88 161,9051 359,6738 1,845883
1,9 161,8809 359,7466 1,809664
1,92 161,839 359,8451 1,752488
1,94 161,8223 359,8287 1,762669
1,96 161,6557 359,8712 1,819176
1,98 161,6272 359,8436 1,840926
2 161,3846 359,8083 2,006676
2,02 161,2515 359,9905 2,130677
2,04 161,0555 0,2634144 2,185315
2,06 160,91 0,5985902 2,120675
2,08 160,7833 0,7232387 2,113635
2,1 160,6961 0,9870669 2,050544
