frame,value
0,0.967434
1,0.966049
2,0.965019
3,0.964077
4,0.962851
5,0.961878
6,0.960207
7,0.960658
8,0.959450
9,0.960094
10,0.959231
11,0.960401
12,0.959928
13,0.961179
14,0.961541
15,0.963289
16,0.964447
17,0.965523
18,0.966395
19,0.966733
20,0.970601
21,0.971567
22,0.970370
23,0.971114
24,0.973561
25,0.973442
26,0.972066
27,0.972536
28,0.971018
29,0.969248
30,0.969895
31,0.967629
32,0.966073
33,0.962791
34,0.962110
35,0.960082
36,0.959668
37,0.958698
38,0.958174
39,0.960752
40,0.959194
41,0.962550
42,0.964137
43,0.962480
44,0.966107
45,0.964325
46,0.964346
47,0.964873
48,0.963519
49,0.964097
50,0.965374
51,0.965145
52,0.967450
53,0.965228
54,0.967865
55,0.966948
56,0.966676
57,0.966736
58,0.966529
59,0.966209
60,0.966540
61,0.966084
62,0.965145
63,0.964592
64,0.963800
65,0.964727
66,0.961959
67,0.962766
68,0.961469
69,0.959666
70,0.957971
71,0.956277
72,0.954835
73,0.955186
74,0.953919
75,0.953435
76,0.952395
77,0.951691
78,0.951245
79,0.950086
80,0.950608
81,0.952222
82,0.953476
83,0.953811
84,0.953713
85,0.955064
86,0.956895
87,0.957017
88,0.957602
89,0.958381
90,0.960826
91,0.961087
92,0.963323
93,0.963536
94,0.962279
95,0.961948
96,0.961729
97,0.961018
98,0.960812
99,0.962382
100,0.962372
101,0.961726
102,0.960804
103,0.959106
104,0.957028
105,0.956218
106,0.955489
107,0.954791
108,0.954020
109,0.954320
110,0.953542
111,0.953994
112,0.953197
113,0.952941
114,0.953031
115,0.952725
116,0.953282
117,0.954290
118,0.956561
119,0.957327
120,0.960016
121,0.959627
122,0.960265
123,0.961963
124,0.963997
125,0.965009
126,0.965653
127,0.965709
128,0.966137
129,0.965925
130,0.965970
131,0.966421
132,0.966302
133,0.967465
134,0.966970
135,0.966365
136,0.966934
137,0.965689
138,0.963518
139,0.965994
140,0.962352
141,0.961681
142,0.961548
143,0.961984
144,0.960234
145,0.960313
146,0.959004
147,0.958867
148,0.959046
149,0.959562
150,0.961860
151,0.961729
152,0.961446
153,0.960333
154,0.960568
155,0.958777
156,0.957555
157,0.954863
158,0.954118
159,0.953657
160,0.953781
161,0.955807
162,0.957996
163,0.961253
164,0.962889
165,0.963663
166,0.966289
167,0.966542
168,0.968144
169,0.969039
170,0.971008
171,0.972010
172,0.973383
173,0.973146
174,0.973153
175,0.972877
176,0.973680
177,0.973623
178,0.973804
179,0.973710
180,0.975950
181,0.975268
182,0.975073
183,0.974203
184,0.972540
185,0.971623
186,0.970848
187,0.968756
188,0.966926
189,0.966265
190,0.965558
191,0.963866
192,0.963462
193,0.960483
194,0.958593
195,0.958294
196,0.955535
197,0.953416
198,0.952512
199,0.950639
200,0.946425
201,0.946425
202,0.946976
203,0.946101
204,0.946062
205,0.946684
206,0.945257
207,0.945371
208,0.947804
209,0.946655
210,0.951395
211,0.950241
212,0.949755
213,0.950105
214,0.948173
215,0.949129
216,0.950457
217,0.952855
218,0.954518
219,0.955569
220,0.954296
221,0.965806
222,0.964589
223,0.962924
224,0.964942
225,0.967443
226,0.967784
227,0.967845
228,0.968227
229,0.970317
230,0.972560
231,0.977632
232,0.981081
233,0.983517
234,0.985731
235,0.987191
236,0.988492
237,0.989090
238,0.989429
239,0.988810
240,0.994388
241,0.993603
242,0.978820
243,0.976699
244,0.976436
245,0.976906
246,0.975610
247,0.975487
248,0.976496
249,0.978476
250,0.982117
251,0.982203
252,0.962359
253,0.963601
254,0.962277
255,0.959247
256,0.963146
257,0.962342
258,0.954217
259,0.959037
260,0.957501
261,0.952238
262,0.958052
263,0.955492
264,0.959201
265,0.960652
266,0.962106
267,0.967248
268,0.966780
269,0.971482
270,0.972952
271,0.979951
272,0.982133
273,0.985485
274,0.987569
275,0.986934
276,0.985428
277,0.986286
278,0.988356
279,0.982944
280,0.981751
281,0.980786
282,0.974115
283,0.969231
284,0.958870
285,0.954238
286,0.955997
287,0.964853
288,0.970672
289,0.979741
290,0.989020
291,0.992489
292,0.993792
293,0.993932
294,0.992215
295,0.991273
296,0.983132
297,0.982813
298,0.981842
299,0.980585
300,0.980493
301,0.977780
302,0.974615
303,0.970542
304,0.971895
305,0.971276
306,0.969771
307,0.970883
308,0.966412
309,0.967546
310,0.967966
311,0.969876
312,0.969023
313,0.968255
314,0.966542
315,0.964341
316,0.963358
317,0.962813
318,0.964022
319,0.962350
320,0.962505
321,0.961095
322,0.961076
323,0.960049
324,0.959423
325,0.955181
326,0.957202
327,0.958095
328,0.956500
329,0.955270
330,0.957057
331,0.954126
332,0.951683
333,0.951275
334,0.949713
335,0.948979
336,0.948424
337,0.949772
338,0.946886
339,0.947356
340,0.948093
341,0.946406
342,0.945020
343,0.946931
344,0.944946
345,0.944267
346,0.943842
347,0.943620
348,0.940744
349,0.939354
350,0.940487
351,0.939184
352,0.940264
353,0.937540
354,0.935751
355,0.935230
356,0.939776
357,0.940008
358,0.939810
359,0.939151
360,0.945619
361,0.944106
362,0.944025
363,0.942500
364,0.941000
365,0.938524
366,0.937158
367,0.935129
368,0.933962
369,0.935153
370,0.933946
371,0.931779
372,0.930715
373,0.930881
374,0.931415
375,0.935872
376,0.933045
377,0.931421
378,0.935144
379,0.933119
380,0.930502
381,0.929808
382,0.930889
383,0.930458
384,0.933436
385,0.935592
386,0.937098
387,0.935984
388,0.936618
389,0.936905
390,0.944870
391,0.940040
392,0.938230
393,0.938116
394,0.939155
395,0.941530
396,0.943007
397,0.940988
398,0.941808
399,0.942528
400,0.942763
401,0.943928
402,0.943510
403,0.941640
404,0.941250
405,0.939459
406,0.942899
407,0.944207
408,0.944548
409,0.945438
410,0.943102
411,0.941901
412,0.942069
413,0.941452
414,0.939353
415,0.937206
416,0.936417
417,0.934787
418,0.935764
419,0.934616
420,0.938623
421,0.932027
422,0.931929
423,0.932121
424,0.934196
425,0.933346
426,0.935620
427,0.935136
428,0.937617
429,0.938254
430,0.938946
431,0.942288
432,0.942561
433,0.942126
434,0.942476
435,0.942888
436,0.940626
437,0.941593
438,0.939572
439,0.939666
440,0.941323
441,0.940091
442,0.938396
443,0.939738
444,0.939116
445,0.940365
446,0.941856
447,0.940754
448,0.940908
449,0.939684
450,0.941211
451,0.939978
452,0.941717
453,0.940771
454,0.937609
455,0.936087
456,0.936464
457,0.935713
458,0.939635
459,0.937798
460,0.937985
461,0.941532
462,0.938797
463,0.938761
464,0.937321
465,0.937160
466,0.935126
467,0.937646
